<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCN.US,60,20200914,160000,17.87,17.99,17.51,17.99,3329,0
OCN.US,60,20200914,170000,17.93,18.055,17.81,17.81,19373,0
OCN.US,60,20200914,180000,17.8724,17.905,17.42,17.5,17888,0
OCN.US,60,20200914,190000,17.561,17.78,17.555,17.78,2696,0
OCN.US,60,20200914,200000,17.63,17.7201,17.56,17.58,3459,0
OCN.US,60,20200914,210000,17.605,17.71,17.525,17.71,11566,0
OCN.US,60,20200914,220000,17.695,17.93,17.59,17.75,27718,0
OCN.US,60,20200915,160000,18.66,19.35,18.3818,19.29,35540,0
OCN.US,60,20200915,170000,19.44,20.85,19.1,20.59,70402,0
OCN.US,60,20200915,180000,20.525,21.75,20.4201,21.67,52635,0
OCN.US,60,20200915,190000,21.6446,21.83,21.3,21.345,20609,0
OCN.US,60,20200915,200000,21.31,22.6962,21.25,22.22,25411,0
OCN.US,60,20200915,210000,22.26,22.2999,21.95,22.2148,19243,0
OCN.US,60,20200915,220000,22.1,22.38,21.64,21.94,41748,0
OCN.US,60,20200916,160000,22.16,23.05,22.16,22.75,11077,0
OCN.US,60,20200916,170000,22.8,23.05,22.45,22.45,22760,0
OCN.US,60,20200916,180000,22.525,22.525,21.99,21.99,11785,0
OCN.US,60,20200916,190000,21.96,22.12,21.66,21.765,6666,0
OCN.US,60,20200916,200000,21.96,22.04,21.78,21.88,3391,0
OCN.US,60,20200916,210000,21.88,22.65,21.82,22.31,14958,0
OCN.US,60,20200916,220000,22.3001,22.3001,21.25,21.4,40419,0
OCN.US,60,20200917,160000,21.05,21.54,21,21.32,3776,0
OCN.US,60,20200917,170000,21.4423,21.56,21.44,21.44,1474,0
OCN.US,60,20200917,180000,21.5057,21.905,21.4801,21.905,4696,0
OCN.US,60,20200917,190000,21.895,22.3699,21.6,22.265,6697,0
OCN.US,60,20200917,200000,22.35,22.35,22.01,22.085,2206,0
OCN.US,60,20200917,210000,22.04,22.04,21.652,21.8,1400,0
OCN.US,60,20200917,220000,21.75,22.16,21.63,22.16,9780,0
OCN.US,60,20200918,160000,22.11,23.11,22.11,23.02,19656,0
OCN.US,60,20200918,170000,23.15,23.975,22.88,23.975,13736,0
OCN.US,60,20200918,180000,23.765,24.09,23.621,23.86,16230,0
OCN.US,60,20200918,190000,23.735,23.99,23.6301,23.7276,5679,0
OCN.US,60,20200918,200000,23.66,23.66,23.41,23.43,3840,0
OCN.US,60,20200918,210000,23.45,23.56,23.1,23.15,5576,0
OCN.US,60,20200918,220000,23.06,23.63,23.06,23.63,17277,0
OCN.US,60,20200921,160000,23.01,23.6544,22.8,23.25,4815,0
OCN.US,60,20200921,170000,23.4,23.5,22.98,23.2999,8872,0
OCN.US,60,20200921,180000,23.29,23.34,23.1,23.19,5670,0
OCN.US,60,20200921,190000,23.17,23.31,23.11,23.18,2541,0
OCN.US,60,20200921,200000,23.1,23.25,23.05,23.12,3293,0
OCN.US,60,20200921,210000,23.03,23.03,22.89,22.89,4428,0
OCN.US,60,20200921,220000,23.02,23.49,23.02,23.49,15711,0
OCN.US,60,20200922,160000,23.695,23.695,23.37,23.37,700,0
OCN.US,60,20200922,170000,23.14,23.3799,23.07,23.07,2825,0
OCN.US,60,20200922,180000,23.01,23.01,22.55,22.81,6579,0
OCN.US,60,20200922,190000,22.97,22.97,22.6511,22.6511,3032,0
OCN.US,60,20200922,200000,22.67,22.98,22.67,22.96,5269,0
OCN.US,60,20200922,210000,22.95,23.19,22.95,23.175,2864,0
OCN.US,60,20200922,220000,23.135,23.66,23.135,23.25,14052,0
OCN.US,60,20200923,160000,23.58,23.58,23.12,23.2529,2114,0
OCN.US,60,20200923,170000,23.21,23.765,23.2,23.75,12456,0
OCN.US,60,20200923,180000,23.4,23.49,23,23,4330,0
OCN.US,60,20200923,190000,23.01,23.09,22.85,22.93,2549,0
OCN.US,60,20200923,200000,22.85,23.05,22.85,22.89,3537,0
OCN.US,60,20200923,210000,22.9,22.97,22,22.06,10047,0
OCN.US,60,20200923,220000,22.2125,22.2125,21.68,21.91,25538,0
OCN.US,60,20200924,160000,21.75,21.851,21.0001,21.47,8526,0
OCN.US,60,20200924,170000,21.46,21.87,21.1,21.1,4848,0
OCN.US,60,20200924,180000,21.25,21.38,20.73,21.27,17238,0
OCN.US,60,20200924,190000,21.35,21.74,21.35,21.73,4700,0
OCN.US,60,20200924,200000,21.7939,21.92,21.7129,21.865,4177,0
OCN.US,60,20200924,210000,21.87,21.87,21.0107,21.0107,5106,0
OCN.US,60,20200924,220000,21.35,21.52,21.04,21.23,8120,0
OCN.US,60,20200925,160000,21.26,21.42,20.9966,21.39,1303,0
OCN.US,60,20200925,170000,21.24,21.4495,20.885,20.9,9369,0
OCN.US,60,20200925,180000,20.925,20.95,20.47,20.65,10896,0
OCN.US,60,20200925,190000,20.705,20.84,20.59,20.705,5071,0
OCN.US,60,20200925,200000,20.73,21.4848,20.7,21.04,5230,0
OCN.US,60,20200925,210000,21.04,21.695,20.86,21.4059,16744,0
OCN.US,60,20200925,220000,21.36,21.98,21.36,21.8,9781,0
OCN.US,60,20200928,160000,22,22.8623,22,22.8372,6212,0
OCN.US,60,20200928,170000,22.9354,23.31,22.7401,23.03,10160,0
OCN.US,60,20200928,180000,22.98,23.185,22.76,23.1522,3177,0
OCN.US,60,20200928,190000,23.15,23.22,22.49,22.56,7371,0
OCN.US,60,20200928,200000,22.66,22.8436,22.57,22.8043,3926,0
OCN.US,60,20200928,210000,22.865,23.17,22.58,23.17,4632,0
OCN.US,60,20200928,220000,23.04,23.04,22.44,22.55,10101,0
OCN.US,60,20200929,160000,22.53,22.7938,22.3613,22.68,3109,0
OCN.US,60,20200929,170000,22.0766,22.3518,22.03,22.04,4766,0
OCN.US,60,20200929,180000,21.785,21.785,21.45,21.45,3914,0
OCN.US,60,20200929,190000,21.445,21.63,21.09,21.3,12764,0
OCN.US,60,20200929,200000,21.2902,21.66,21.2902,21.6,3919,0
OCN.US,60,20200929,210000,21.615,22.03,21.61,22.03,5039,0
OCN.US,60,20200929,220000,22.03,22.28,21.62,21.64,10554,0
OCN.US,60,20200930,160000,21.93,22.1,21.6833,22.1,5778,0
OCN.US,60,20200930,170000,22.05,22.085,21.61,21.71,4899,0
OCN.US,60,20200930,180000,21.77,21.77,21.075,21.15,8705,0
OCN.US,60,20200930,190000,21.1752,21.25,21.045,21.22,5579,0
OCN.US,60,20200930,200000,21.2448,21.57,21.19,21.57,3212,0
OCN.US,60,20200930,210000,21.54,21.605,21.21,21.36,4167,0
OCN.US,60,20200930,220000,21.4,21.4,21.11,21.12,62575,0
OCN.US,60,20201001,160000,21.42,21.52,21.4064,21.4064,1128,0
OCN.US,60,20201001,170000,21.21,21.22,20.77,20.94,5691,0
OCN.US,60,20201001,180000,21.16,21.5,21.13,21.165,4310,0
OCN.US,60,20201001,190000,21.24,21.78,21.23,21.7378,6491,0
OCN.US,60,20201001,200000,21.8,22.15,21.74,22.07,6675,0
OCN.US,60,20201001,210000,21.995,22.56,21.84,22.44,11320,0
OCN.US,60,20201001,220000,22.49,22.57,21.8,22.05,17970,0
OCN.US,60,20201002,160000,21.68,21.83,21.6,21.64,2448,0
OCN.US,60,20201002,170000,21.54,21.59,21.2,21.41,4443,0
OCN.US,60,20201002,180000,21.28,21.83,21.16,21.83,3397,0
OCN.US,60,20201002,190000,21.825,22.19,21.825,22.19,2742,0
OCN.US,60,20201002,200000,22.19,22.85,22.19,22.72,4988,0
OCN.US,60,20201002,210000,22.7,22.82,22.62,22.8,1451,0
OCN.US,60,20201002,220000,22.84,23.54,22.7101,23.45,22865,0
OCN.US,60,20201005,160000,23.79,23.79,23.22,23.51,3286,0
OCN.US,60,20201005,170000,23.71,24.276,23.71,24.238,5890,0
OCN.US,60,20201005,180000,24.32,24.69,24.32,24.62,6004,0
OCN.US,60,20201005,190000,24.54,24.6899,24.5,24.5,21140,0
OCN.US,60,20201005,200000,24.5,24.78,24.445,24.78,10989,0
OCN.US,60,20201005,210000,24.75,25.22,24.6,24.6,11368,0
OCN.US,60,20201005,220000,24.6,24.94,24.5,24.61,21548,0
OCN.US,60,20201006,160000,24.72,25.28,24.5,24.5,6383,0
OCN.US,60,20201006,170000,24.7795,24.7795,24.25,24.5205,9734,0
OCN.US,60,20201006,180000,24.44,25.15,24.44,25.15,10323,0
OCN.US,60,20201006,190000,25.165,25.165,24.67,24.99,17224,0
OCN.US,60,20201006,200000,24.96,25.08,24.96,25.08,1792,0
OCN.US,60,20201006,210000,25,25.43,25,25.01,23950,0
OCN.US,60,20201006,220000,25,25.11,24.07,24.07,20956,0
OCN.US,60,20201007,160000,24.5603,25.69,24.5603,25.1,11282,0
OCN.US,60,20201007,170000,25.21,25.6,25.21,25.36,21026,0
OCN.US,60,20201007,180000,25.485,25.485,25.2,25.2789,6482,0
OCN.US,60,20201007,190000,25.3,25.84,25.3,25.77,6018,0
OCN.US,60,20201007,200000,25.77,25.77,25.27,25.405,8783,0
OCN.US,60,20201007,210000,25.43,25.43,25.25,25.42,2097,0
OCN.US,60,20201007,220000,25.465,25.88,25.25,25.37,17524,0
OCN.US,60,20201008,160000,25.47,25.54,24.78,24.85,6068,0
OCN.US,60,20201008,170000,24.9,25.47,24.65,25.265,17761,0
OCN.US,60,20201008,180000,25.42,25.475,25.3,25.47,1840,0
OCN.US,60,20201008,190000,25.335,25.54,25.28,25.54,800,0
OCN.US,60,20201008,200000,25.565,25.87,25.48,25.76,4338,0
OCN.US,60,20201008,210000,25.86,25.98,25.755,25.8,2528,0
OCN.US,60,20201008,220000,25.575,25.77,25.52,25.68,5463,0
OCN.US,60,20201009,160000,25.93,25.93,25.92,25.93,637,0
OCN.US,60,20201009,170000,25.865,27.36,25.675,27.14,16217,0
OCN.US,60,20201009,180000,27.135,27.27,26.909,27.2472,8492,0
OCN.US,60,20201009,190000,27.38,27.705,27.25,27.38,3982,0
OCN.US,60,20201009,200000,27.135,27.175,27.0016,27.13,1123,0
OCN.US,60,20201009,210000,27.15,27.4,27.12,27.4,3857,0
OCN.US,60,20201009,220000,27.38,27.56,27.09,27.1,13840,0
OCN.US,60,20201012,160000,27.11,27.235,26.67,26.67,4705,0
OCN.US,60,20201012,170000,26.63,26.91,26.5,26.79,10217,0
OCN.US,60,20201012,180000,26.685,26.84,26.685,26.84,703,0
OCN.US,60,20201012,190000,26.65,26.76,26.6,26.6,3182,0
OCN.US,60,20201012,200000,26.53,26.63,26.4,26.5335,9102,0
OCN.US,60,20201012,210000,26.43,26.685,26.25,26.55,6340,0
OCN.US,60,20201012,220000,26.64,26.88,26.58,26.6,13178,0
OCN.US,60,20201013,160000,26.51,26.52,26.161,26.52,554,0
OCN.US,60,20201013,170000,26.76,26.77,26.55,26.665,6746,0
OCN.US,60,20201013,180000,26.59,26.84,26.55,26.81,3238,0
