<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAM.US,60,20200914,160000,11.91,11.91,11.7114,11.83,5209,0
PAM.US,60,20200914,170000,11.82,11.82,11.6,11.67,15834,0
PAM.US,60,20200914,180000,11.67,11.68,11.525,11.66,42159,0
PAM.US,60,20200914,190000,11.69,11.74,11.53,11.55,35488,0
PAM.US,60,20200914,200000,11.52,11.54,11.48,11.54,9275,0
PAM.US,60,20200914,210000,11.56,11.66,11.48,11.58,23499,0
PAM.US,60,20200914,220000,11.55,11.58,11.42,11.46,44334,0
PAM.US,60,20200915,160000,11.47,11.54,11.15,11.3,31976,0
PAM.US,60,20200915,170000,11.3,11.45,11.28,11.43,25612,0
PAM.US,60,20200915,180000,11.43,11.51,11.4,11.42,20278,0
PAM.US,60,20200915,190000,11.45,11.71,11.42,11.71,23679,0
PAM.US,60,20200915,200000,11.73,11.83,11.73,11.805,29283,0
PAM.US,60,20200915,210000,11.79,11.81,11.6,11.62,18894,0
PAM.US,60,20200915,220000,11.62,11.62,11.47,11.48,30429,0
PAM.US,60,20200916,160000,11.5,11.5,10.81,10.9,35314,0
PAM.US,60,20200916,170000,10.8963,11.05,10.775,11,83446,0
PAM.US,60,20200916,180000,10.97,11.03,10.8003,10.825,22828,0
PAM.US,60,20200916,190000,10.81,11.11,10.75,11.09,31015,0
PAM.US,60,20200916,200000,11.08,11.1,10.89,10.9699,15113,0
PAM.US,60,20200916,210000,10.92,10.97,10.7,10.7,36928,0
PAM.US,60,20200916,220000,10.7,10.8,10.6,10.73,58943,0
PAM.US,60,20200917,160000,10.64,10.73,10.5,10.54,6377,0
PAM.US,60,20200917,170000,10.54,10.75,10.54,10.691,57050,0
PAM.US,60,20200917,180000,10.695,10.695,10.6,10.62,16915,0
PAM.US,60,20200917,190000,10.62,10.71,10.59,10.7,28981,0
PAM.US,60,20200917,200000,10.7,10.84,10.68,10.82,25477,0
PAM.US,60,20200917,210000,10.79,10.86,10.765,10.78,20238,0
PAM.US,60,20200917,220000,10.75,10.76,10.645,10.65,36432,0
PAM.US,60,20200918,160000,10.67,10.67,10.525,10.57,4200,0
PAM.US,60,20200918,170000,10.6,10.858,10.585,10.77,39486,0
PAM.US,60,20200918,180000,10.76,10.765,10.65,10.67,7252,0
PAM.US,60,20200918,190000,10.645,10.66,10.51,10.54,12946,0
PAM.US,60,20200918,200000,10.54,10.63,10.53,10.62,21486,0
