<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCOR.US,60,20210520,180000,84,84.5,78.96,81.55,3349799,0
PCOR.US,60,20210520,190000,81.31,87,81.05,83.71,1641586,0
PCOR.US,60,20210520,200000,83.7,86.75,83.13,85.325,689739,0
PCOR.US,60,20210520,210000,85.325,86.13,83.1,85.51,562302,0
PCOR.US,60,20210520,220000,85.51,90.05,85.31,88,1360682,0
PCOR.US,60,20210521,160000,87.56,90,85.048,88.49,395811,0
PCOR.US,60,20210521,170000,88.47,91.81,87.36,87.48,363398,0
PCOR.US,60,20210521,180000,87.16,91.64,85.53,88.65,306916,0
PCOR.US,60,20210521,190000,88.65,88.65,84.95,85.05,190029,0
PCOR.US,60,20210521,200000,85.06,89.345,85.01,89.26,188821,0
PCOR.US,60,20210521,210000,89.26,90.48,88,90.3325,377211,0
PCOR.US,60,20210521,220000,90.25,91.99,87.82,88.62,439432,0
PCOR.US,60,20210524,160000,88.78,88.78,83.9929,85.0524,39807,0
PCOR.US,60,20210524,170000,85,87,84.82,85.26,28047,0
PCOR.US,60,20210524,180000,85.6,86.31,85.25,85.995,49772,0
PCOR.US,60,20210524,190000,85.995,86.84,85.3006,86.23,60082,0
PCOR.US,60,20210524,200000,86.31,87.82,85.535,87.23,18701,0
PCOR.US,60,20210524,210000,87.35,87.8399,86.8,87.1138,36260,0
PCOR.US,60,20210524,220000,87.47,88.33,85.7,86.21,152435,0
PCOR.US,60,20210525,160000,85.85,85.88,84.64,85.24,20374,0
PCOR.US,60,20210525,170000,85.895,85.895,82.29,82.69,46230,0
PCOR.US,60,20210525,180000,83.72,83.9037,81.74,83,98904,0
PCOR.US,60,20210525,190000,82.85,84.56,82,82.4,109246,0
PCOR.US,60,20210525,200000,82.41,83.97,81.58,83,64161,0
PCOR.US,60,20210525,210000,83.01,84.85,82.52,84.85,59540,0
PCOR.US,60,20210525,220000,84.8001,85.5,81.9,81.9,156353,0
PCOR.US,60,20210526,160000,81.78,81.92,80.435,80.7,71866,0
PCOR.US,60,20210526,170000,80.8,81.525,80.09,80.86,176126,0
PCOR.US,60,20210526,180000,80.86,81.2,80.85,80.92,33891,0
PCOR.US,60,20210526,190000,80.94,81.64,80.88,81.05,36612,0
PCOR.US,60,20210526,200000,81.11,82.24,80.9,81.97,46990,0
PCOR.US,60,20210526,210000,81.97,82.57,81.75,82.22,34857,0
PCOR.US,60,20210526,220000,82.38,82.74,81.2175,81.45,120628,0
PCOR.US,60,20210527,160000,81.45,81.77,80.74,81.77,12477,0
