<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGRE.US,60,20200914,160000,6.8888,6.9033,6.8013,6.8936,137993,0
PGRE.US,60,20200914,170000,6.8936,6.9664,6.8406,6.9325,383193,0
PGRE.US,60,20200914,180000,6.9325,7.0635,6.9325,7.0393,332525,0
PGRE.US,60,20200914,190000,7.0393,7.1317,7.02,7.1025,349746,0
PGRE.US,60,20200914,200000,7.1073,7.1656,7.1025,7.1365,255289,0
PGRE.US,60,20200914,210000,7.1365,7.1609,7.0393,7.0734,530260,0
PGRE.US,60,20200914,220000,7.0734,7.1219,7.0345,7.1219,1042556,0
PGRE.US,60,20200915,160000,7.1219,7.2094,7.1219,7.1899,346507,0
PGRE.US,60,20200915,170000,7.1899,7.3145,7.1851,7.3066,309653,0
PGRE.US,60,20200915,180000,7.3114,7.3648,7.2871,7.3405,305946,0
PGRE.US,60,20200915,190000,7.3454,7.3891,7.3308,7.3843,218386,0
PGRE.US,60,20200915,200000,7.3843,7.4425,7.3746,7.4134,269335,0
PGRE.US,60,20200915,210000,7.4183,7.4232,7.3454,7.3503,139305,0
PGRE.US,60,20200915,220000,7.3519,7.394,7.3357,7.3648,1009149,0
PGRE.US,60,20200916,160000,7.394,7.4037,7.292,7.3843,163196,0
PGRE.US,60,20200916,170000,7.3746,7.4717,7.3648,7.462,294772,0
PGRE.US,60,20200916,180000,7.4668,7.5688,7.4329,7.5397,357643,0
PGRE.US,60,20200916,190000,7.5495,7.6223,7.5349,7.5932,213381,0
PGRE.US,60,20200916,200000,7.598,7.6272,7.5688,7.598,248845,0
PGRE.US,60,20200916,210000,7.6029,7.6708,7.5786,7.6708,434262,0
PGRE.US,60,20200916,220000,7.6708,7.6854,7.6077,7.666,1429494,0
PGRE.US,60,20200917,160000,7.5786,7.5786,7.4134,7.462,124551,0
PGRE.US,60,20200917,170000,7.462,7.5688,7.4425,7.4717,213876,0
PGRE.US,60,20200917,180000,7.4717,7.53,7.4717,7.4814,159609,0
PGRE.US,60,20200917,190000,7.4814,7.4814,7.394,7.4329,177261,0
PGRE.US,60,20200917,200000,7.4232,7.4329,7.3843,7.4037,199805,0
PGRE.US,60,20200917,210000,7.4134,7.4668,7.4037,7.4134,218588,0
PGRE.US,60,20200917,220000,7.4134,7.4522,7.3843,7.4329,1303027,0
PGRE.US,60,20200918,160000,7.462,7.4668,7.3308,7.3357,205780,0
PGRE.US,60,20200918,170000,7.3454,7.3891,7.2871,7.3648,196467,0
PGRE.US,60,20200918,180000,7.3648,7.3988,7.3114,7.3843,302541,0
PGRE.US,60,20200918,190000,7.394,7.394,7.2726,7.3066,214180,0
PGRE.US,60,20200918,200000,7.2968,7.3212,7.2384,7.3016,363566,0
PGRE.US,60,20200918,210000,7.3016,7.3308,7.2822,7.2968,316261,0
PGRE.US,60,20200918,220000,7.2968,7.3259,7.1753,7.2384,1307125,0
