<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA_O.US,60,20201119,160000,24.96,24.97,24.94,24.97,51896,0
PSA_O.US,60,20201119,170000,24.97,25,24.93,24.97,68107,0
PSA_O.US,60,20201119,180000,24.96,24.97,24.95,24.969,23654,0
PSA_O.US,60,20201119,190000,24.969,24.974,24.96,24.974,13419,0
PSA_O.US,60,20201119,200000,24.97,24.98,24.96,24.98,16502,0
PSA_O.US,60,20201119,210000,24.97,25.03,24.96,25.005,40288,0
PSA_O.US,60,20201119,220000,25.005,25.0115,24.97,25,27821,0
PSA_O.US,60,20201120,160000,25,25,24.98,24.98,8180,0
PSA_O.US,60,20201120,170000,24.99,25.02,24.99,25.02,12696,0
PSA_O.US,60,20201120,180000,25.0009,25.1,25,25.04,76203,0
PSA_O.US,60,20201120,190000,25.05,25.05,25.03,25.0475,30372,0
PSA_O.US,60,20201120,200000,25.03,25.05,25.03,25.04,16360,0
PSA_O.US,60,20201120,210000,25.04,25.05,25.0312,25.04,16353,0
PSA_O.US,60,20201120,220000,25.03,25.05,25.02,25.04,20185,0
PSA_O.US,60,20201123,160000,25.07,25.12,25.0466,25.08,39571,0
PSA_O.US,60,20201123,170000,25.085,25.12,25.08,25.1,25181,0
PSA_O.US,60,20201123,180000,25.1,25.1,25.06,25.09,15564,0
PSA_O.US,60,20201123,190000,25.09,25.12,25.085,25.0955,27715,0
PSA_O.US,60,20201123,200000,25.095,25.1,25.08,25.09,20728,0
PSA_O.US,60,20201123,210000,25.1,25.12,25.08,25.1,20413,0
PSA_O.US,60,20201123,220000,25.1,25.1,25.07,25.07,67800,0
PSA_O.US,60,20201124,160000,25.1,25.12,25.07,25.0703,18156,0
PSA_O.US,60,20201124,170000,25.08,25.11,25.07,25.07,54613,0
PSA_O.US,60,20201124,180000,25.07,25.07,25.06,25.06,19746,0
PSA_O.US,60,20201124,190000,25.0687,25.0687,24.99,25,52325,0
PSA_O.US,60,20201124,200000,25,25.03,24.99,25.02,18920,0
PSA_O.US,60,20201124,210000,25.01,25.03,24.95,24.95,40657,0
PSA_O.US,60,20201124,220000,24.95,24.98,24.93,24.93,37938,0
PSA_O.US,60,20201125,160000,24.96,24.98,24.955,24.98,15658,0
PSA_O.US,60,20201125,170000,24.97,24.98,24.93,24.95,69636,0
PSA_O.US,60,20201125,180000,24.94,24.95,24.925,24.93,11856,0
PSA_O.US,60,20201125,190000,24.93,24.94,24.925,24.93,8258,0
PSA_O.US,60,20201125,200000,24.935,24.99,24.81,24.97,14921,0
PSA_O.US,60,20201125,210000,24.968,24.99,24.968,24.97,5000,0
