<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYT.US,60,20200917,210000,23.12,23.12,23.12,23.12,200,0
PYT.US,60,20200930,160000,23.12,23.12,23.12,23.12,1000,0
PYT.US,60,20201005,180000,23.11,23.11,23.11,23.11,100,0
PYT.US,60,20201005,200000,22.7,22.73,22.7,22.73,425,0
PYT.US,60,20201005,210000,22.97,23,22.97,23,2200,0
PYT.US,60,20201005,220000,22.9,22.9,22.9,22.9,200,0
PYT.US,60,20201006,160000,22.65,22.65,22.65,22.65,100,0
PYT.US,60,20201006,220000,22.71,22.71,22.71,22.71,100,0
PYT.US,60,20201009,210000,22.71,23.11,22.71,23.11,1910,0
PYT.US,60,20201016,190000,22.9001,22.9001,22.62,22.62,1640,0
PYT.US,60,20201023,160000,22.65,23.08,22.65,23.08,1600,0
PYT.US,60,20201028,170000,23.12,23.12,22.62,22.62,3620,0
PYT.US,60,20201028,180000,22.44,22.6447,22.32,22.6447,6780,0
PYT.US,60,20201028,190000,22.672,22.672,22.328,22.328,1000,0
PYT.US,60,20201030,150000,22.27,22.27,22.27,22.27,300,0
PYT.US,60,20201103,190000,22.365,22.72,22.365,22.5492,600,0
PYT.US,60,20201106,180000,22.71,22.74,22.69,22.74,1000,0
PYT.US,60,20201106,210000,22.465,22.465,22.465,22.465,150,0
PYT.US,60,20201109,180000,23.12,23.2,23.1,23.2,1100,0
PYT.US,60,20201109,220000,23,23,23,23,100,0
PYT.US,60,20201110,200000,23.01,23.01,23,23,1000,0
PYT.US,60,20201112,220000,23.02,23.02,23,23,300,0
PYT.US,60,20201113,200000,22.81,22.81,22.81,22.81,1000,0
PYT.US,60,20201116,210000,23.2199,23.2199,23.2199,23.2199,125,0
PYT.US,60,20201201,180000,23.36,23.4,23.02,23.4,3262,0
PYT.US,60,20201201,200000,23.4,23.4,23.4,23.4,175,0
PYT.US,60,20201201,220000,23.4,23.42,23.4,23.4,729,0
PYT.US,60,20201203,190000,23.05,23.05,23.01,23.01,1254,0
PYT.US,60,20201207,210000,23,23.19,23,23.19,638,0
PYT.US,60,20201207,220000,23.1905,23.21,23.1905,23.21,200,0
PYT.US,60,20201209,170000,23.25,23.25,23.25,23.25,1480,0
PYT.US,60,20201211,160000,23.07,23.07,23.07,23.07,300,0
PYT.US,60,20201211,220000,23.11,23.11,23.11,23.11,227,0
PYT.US,60,20201214,170000,23.2989,23.4,23.26,23.4,1100,0
PYT.US,60,20201214,210000,23.33,23.33,23.12,23.3,1488,0
PYT.US,60,20201214,220000,23.12,23.12,23.12,23.12,100,0
PYT.US,60,20201218,200000,23.48,23.48,23.48,23.48,100,0
PYT.US,60,20201222,170000,23.18,23.18,23.16,23.16,877,0
PYT.US,60,20201223,190000,23.48,23.48,23.3761,23.3761,2500,0
PYT.US,60,20201223,200000,23.45,23.45,23.42,23.4201,1552,0
PYT.US,60,20201223,220000,23.43,23.43,23.42,23.42,2274,0
PYT.US,60,20201224,190000,23.455,23.5,23.455,23.5,200,0
