<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RC_D.US,60,20210323,150000,25.44,25.44,25.2804,25.299,2824,0
RC_D.US,60,20210323,160000,25.26,25.3899,25.26,25.3899,650,0
RC_D.US,60,20210323,180000,25.31,25.31,25.25,25.25,2400,0
RC_D.US,60,20210323,190000,25.22,25.24,25.22,25.24,402,0
RC_D.US,60,20210323,200000,25.23,25.24,25.23,25.24,600,0
RC_D.US,60,20210323,210000,25.231,25.24,24.895,25,18850,0
RC_D.US,60,20210324,150000,24.99,25.0903,24.99,25.0903,700,0
RC_D.US,60,20210324,160000,25.11,25.23,25.11,25.23,2000,0
RC_D.US,60,20210324,170000,25.2,25.2,25.04,25.17,1425,0
RC_D.US,60,20210324,180000,25.13,25.16,25.13,25.16,700,0
RC_D.US,60,20210324,190000,25.17,25.17,25.119,25.17,500,0
RC_D.US,60,20210324,210000,25.09,25.09,25.06,25.06,300,0
RC_D.US,60,20210325,150000,25.06,25.14,25.06,25.14,400,0
RC_D.US,60,20210325,160000,25.1491,25.18,25.1491,25.18,300,0
RC_D.US,60,20210325,170000,25.14,25.15,25.14,25.15,5264,0
RC_D.US,60,20210325,180000,25.14,25.15,25.1332,25.1332,2200,0
RC_D.US,60,20210325,200000,25.17,25.31,25.1465,25.1465,1788,0
RC_D.US,60,20210325,210000,25.15,25.2,25.15,25.15,4032,0
RC_D.US,60,20210326,150000,25.16,25.16,25.15,25.15,8762,0
RC_D.US,60,20210326,160000,25.15,25.15,25.11,25.15,4974,0
RC_D.US,60,20210326,170000,25.15,25.1702,25.1455,25.15,4525,0
RC_D.US,60,20210326,180000,25.15,25.1506,25.13,25.1459,8592,0
RC_D.US,60,20210326,190000,25.14,25.15,25.14,25.1415,600,0
RC_D.US,60,20210326,200000,25.1304,25.15,25.125,25.15,679,0
RC_D.US,60,20210326,210000,25.23,25.23,25.23,25.23,404,0
RC_D.US,60,20210329,160000,25.26,25.33,25.23,25.2754,5841,0
RC_D.US,60,20210329,170000,25.26,25.29,25.25,25.25,3349,0
RC_D.US,60,20210329,180000,25.26,25.26,25.2168,25.25,6960,0
RC_D.US,60,20210329,200000,25.25,25.25,25.243,25.25,1980,0
