<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REXR_A.US,60,20200914,160000,25.74,25.74,25.55,25.55,417,0
REXR_A.US,60,20200914,170000,25.53,25.56,25.525,25.535,500,0
REXR_A.US,60,20200914,180000,25.53,25.7156,25.53,25.7,32500,0
REXR_A.US,60,20200914,190000,25.61,25.6462,25.61,25.6462,200,0
REXR_A.US,60,20200914,200000,25.665,25.6999,25.665,25.6999,200,0
REXR_A.US,60,20200915,220000,25.63,25.63,25.62,25.62,300,0
REXR_A.US,60,20200916,170000,25.67,25.67,25.67,25.67,100,0
REXR_A.US,60,20200916,210000,25.62,25.665,25.62,25.62,2200,0
REXR_A.US,60,20200916,220000,25.62,25.62,25.62,25.62,200,0
REXR_A.US,60,20200917,160000,25.5001,25.5001,25.5001,25.5001,635,0
REXR_A.US,60,20200917,180000,25.53,25.6,25.52,25.55,1670,0
REXR_A.US,60,20200917,190000,25.59,25.6,25.59,25.6,600,0
REXR_A.US,60,20200917,200000,25.61,25.61,25.61,25.61,300,0
REXR_A.US,60,20200917,220000,25.61,25.61,25.61,25.61,1350,0
REXR_A.US,60,20200918,190000,25.6,25.6,25.57,25.6,1500,0
REXR_A.US,60,20200918,200000,25.6,25.6,25.6,25.6,2100,0
REXR_A.US,60,20200918,220000,25.6,25.6,25.6,25.6,290,0
REXR_A.US,60,20200921,160000,25.5,25.5,25.5,25.5,325,0
REXR_A.US,60,20200921,170000,25.49,25.49,25.47,25.49,455,0
REXR_A.US,60,20200921,180000,25.4901,25.4947,25.49,25.4945,1302,0
REXR_A.US,60,20200921,190000,25.5,25.5,25.5,25.5,2797,0
REXR_A.US,60,20200921,200000,25.54,25.54,25.54,25.54,300,0
REXR_A.US,60,20200921,210000,25.55,25.55,25.55,25.55,2697,0
REXR_A.US,60,20200922,170000,25.63,25.63,25.63,25.63,200,0
REXR_A.US,60,20200922,180000,25.5874,25.6,25.5874,25.6,700,0
REXR_A.US,60,20200922,210000,25.63,25.64,25.63,25.64,700,0
REXR_A.US,60,20200922,220000,25.6,25.6,25.6,25.6,300,0
REXR_A.US,60,20200923,200000,25.6,25.6,25.59,25.59,1000,0
REXR_A.US,60,20200923,210000,25.6001,25.6001,25.595,25.595,3100,0
REXR_A.US,60,20200923,220000,25.6,25.6,25.6,25.6,1000,0
REXR_A.US,60,20200924,160000,25.58,25.58,25.58,25.58,100,0
REXR_A.US,60,20200924,170000,25.58,25.605,25.57,25.605,700,0
REXR_A.US,60,20200924,200000,25.59,25.59,25.58,25.58,1200,0
REXR_A.US,60,20200924,220000,25.7,25.7,25.7,25.7,100,0
REXR_A.US,60,20200929,190000,25.705,25.75,25.6201,25.725,1278,0
REXR_A.US,60,20200930,160000,25.96,25.96,25.62,25.62,1100,0
REXR_A.US,60,20200930,170000,25.68,25.68,25.67,25.6777,706,0
REXR_A.US,60,20200930,190000,25.7,25.72,25.7,25.7,2200,0
REXR_A.US,60,20200930,200000,25.72,25.75,25.71,25.715,1600,0
REXR_A.US,60,20200930,210000,25.75,25.76,25.75,25.76,300,0
REXR_A.US,60,20201001,200000,25.6201,25.6201,25.6201,25.6201,165,0
REXR_A.US,60,20201001,220000,25.75,25.75,25.75,25.75,2900,0
REXR_A.US,60,20201005,180000,25.67,25.7067,25.67,25.7067,420,0
REXR_A.US,60,20201005,190000,25.75,25.75,25.74,25.74,300,0
REXR_A.US,60,20201007,210000,25.68,25.69,25.67,25.67,1100,0
REXR_A.US,60,20201007,220000,25.65,25.65,25.65,25.65,300,0
REXR_A.US,60,20201008,210000,25.71,25.71,25.71,25.71,500,0
REXR_A.US,60,20201008,220000,25.705,25.74,25.705,25.735,980,0
REXR_A.US,60,20201009,200000,25.66,25.74,25.57,25.58,4000,0
REXR_A.US,60,20201009,210000,25.58,25.58,25.52,25.52,1100,0
REXR_A.US,60,20201009,220000,25.55,25.55,25.55,25.55,100,0
REXR_A.US,60,20201012,180000,25.6,25.6,25.56,25.56,1641,0
REXR_A.US,60,20201013,190000,25.51,25.51,25.48,25.48,740,0
REXR_A.US,60,20201013,200000,25.575,25.575,25.575,25.575,100,0
REXR_A.US,60,20201013,210000,25.5763,25.58,25.5763,25.58,1240,0
REXR_A.US,60,20201013,220000,25.57,25.57,25.52,25.57,1232,0
REXR_A.US,60,20201014,210000,25.6,25.6,25.6,25.6,100,0
REXR_A.US,60,20201014,220000,25.53,25.54,25.53,25.54,1506,0
REXR_A.US,60,20201015,170000,25.5172,25.54,25.5172,25.54,200,0
REXR_A.US,60,20201015,190000,25.52,25.52,25.42,25.42,600,0
REXR_A.US,60,20201015,200000,25.54,25.54,25.54,25.54,100,0
