<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROL.US,60,20200914,160000,36.055,36.201,35.816,36.095,50313,0
ROL.US,60,20200914,170000,36.115,36.327,36.101,36.101,116720,0
ROL.US,60,20200914,180000,36.101,36.214,36.055,36.204,99678,0
ROL.US,60,20200914,190000,36.207,36.247,36.075,36.108,85967,0
ROL.US,60,20200914,200000,36.108,36.175,35.976,36.141,79715,0
ROL.US,60,20200914,210000,36.141,36.181,35.983,36.088,96013,0
ROL.US,60,20200914,220000,36.078,36.128,35.91,35.995,696608,0
ROL.US,60,20200915,160000,36.041,36.399,36.028,36.377,50009,0
ROL.US,60,20200915,170000,36.367,36.519,36.287,36.486,94116,0
ROL.US,60,20200915,180000,36.479,36.642,36.479,36.532,70163,0
ROL.US,60,20200915,190000,36.526,36.539,36.4,36.42,61703,0
ROL.US,60,20200915,200000,36.427,36.512,36.427,36.427,77338,0
ROL.US,60,20200915,210000,36.433,36.486,36.4,36.437,161073,0
ROL.US,60,20200915,220000,36.437,36.453,36.247,36.321,620208,0
ROL.US,60,20200916,160000,36.374,36.506,36.324,36.374,144471,0
ROL.US,60,20200916,170000,36.387,36.453,36.194,36.247,94631,0
ROL.US,60,20200916,180000,36.247,36.307,36.168,36.182,51662,0
ROL.US,60,20200916,190000,36.188,36.254,35.995,35.995,51650,0
ROL.US,60,20200916,200000,35.99,36.021,35.853,35.96,57845,0
ROL.US,60,20200916,210000,35.983,36.075,35.87,35.903,83036,0
ROL.US,60,20200916,220000,35.903,35.966,35.439,35.538,601355,0
ROL.US,60,20200917,160000,35.253,35.551,34.942,35.551,63325,0
ROL.US,60,20200917,170000,35.604,35.69,35.425,35.545,118603,0
ROL.US,60,20200917,180000,35.558,35.697,35.402,35.472,71156,0
ROL.US,60,20200917,190000,35.472,35.519,35.193,35.393,69728,0
ROL.US,60,20200917,200000,35.379,35.419,35.323,35.339,75515,0
ROL.US,60,20200917,210000,35.339,35.472,35.234,35.331,94778,0
ROL.US,60,20200917,220000,35.346,35.574,35.246,35.551,519422,0
ROL.US,60,20200918,160000,35.544,36.028,35.499,35.764,27108,0
ROL.US,60,20200918,170000,35.75,35.9,35.684,35.757,78798,0
ROL.US,60,20200918,180000,35.79,35.816,35.465,35.538,84510,0
ROL.US,60,20200918,190000,35.531,35.548,35.286,35.313,97556,0
ROL.US,60,20200918,200000,35.326,35.339,35.041,35.048,129058,0
ROL.US,60,20200918,210000,35.054,35.058,34.696,34.938,217413,0
ROL.US,60,20200918,220000,34.948,35.1,34.676,34.762,696005,0
ROL.US,60,20200921,160000,34.649,34.802,34.271,34.729,116024,0
ROL.US,60,20200921,170000,34.756,34.756,34.345,34.524,87685,0
ROL.US,60,20200921,180000,34.504,34.639,34.477,34.551,102573,0
ROL.US,60,20200921,190000,34.551,34.591,34.238,34.265,71636,0
ROL.US,60,20200921,200000,34.298,34.378,34.199,34.311,104831,0
ROL.US,60,20200921,210000,34.305,34.421,34.241,34.398,127933,0
ROL.US,60,20200921,220000,34.391,34.742,34.385,34.702,684810,0
ROL.US,60,20200922,160000,34.649,34.862,34.649,34.656,26589,0
ROL.US,60,20200922,170000,34.662,35.133,34.622,35.021,104177,0
ROL.US,60,20200922,180000,34.982,35.12,34.962,35.113,63688,0
ROL.US,60,20200922,190000,35.113,35.177,34.955,34.982,67819,0
ROL.US,60,20200922,200000,34.988,35.08,34.945,35.073,86007,0
ROL.US,60,20200922,210000,35.087,35.153,35.054,35.093,110749,0
ROL.US,60,20200922,220000,35.093,35.173,34.962,35.073,387179,0
ROL.US,60,20200923,160000,35.048,35.419,34.982,35.359,48759,0
ROL.US,60,20200923,170000,35.366,35.399,35.107,35.223,76562,0
ROL.US,60,20200923,180000,35.216,35.299,35.041,35.048,97752,0
ROL.US,60,20200923,190000,35.038,35.101,34.935,35.073,55405,0
