<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEAH-U.US,60,20201005,160000,9.94,9.97,9.92,9.92,54471,0
SEAH-U.US,60,20201005,170000,9.92,9.94,9.92,9.935,160430,0
SEAH-U.US,60,20201005,180000,9.935,9.95,9.935,9.945,54078,0
SEAH-U.US,60,20201005,190000,9.945,9.95,9.94,9.945,80998,0
SEAH-U.US,60,20201005,200000,9.945,9.98,9.94,9.97,1072229,0
SEAH-U.US,60,20201005,210000,9.97,9.98,9.95,9.95,100198,0
SEAH-U.US,60,20201005,220000,9.95,9.96,9.945,9.95,505016,0
SEAH-U.US,60,20201006,160000,9.98,9.98,9.96,9.96,17285,0
SEAH-U.US,60,20201006,170000,9.96,9.965,9.94,9.95,467177,0
SEAH-U.US,60,20201006,180000,9.94,9.95,9.94,9.94,206702,0
SEAH-U.US,60,20201006,190000,9.94,9.9461,9.94,9.94,7003,0
SEAH-U.US,60,20201006,200000,9.94,9.95,9.935,9.95,13200,0
SEAH-U.US,60,20201006,210000,9.94,9.95,9.94,9.94,5800,0
SEAH-U.US,60,20201006,220000,9.94,9.95,9.93,9.93,44192,0
SEAH-U.US,60,20201007,160000,9.93,9.95,9.93,9.95,48589,0
SEAH-U.US,60,20201007,170000,9.94,9.96,9.93,9.95,26508,0
SEAH-U.US,60,20201007,180000,9.95,9.97,9.95,9.95,6700,0
SEAH-U.US,60,20201007,190000,9.95,9.95,9.95,9.95,6100,0
SEAH-U.US,60,20201007,200000,9.96,9.96,9.95,9.96,13385,0
SEAH-U.US,60,20201007,210000,9.96,9.96,9.95,9.95,170010,0
SEAH-U.US,60,20201007,220000,9.95,9.95,9.94,9.94,93656,0
SEAH-U.US,60,20201008,160000,9.94,9.96,9.94,9.96,1100,0
SEAH-U.US,60,20201008,170000,9.96,9.97,9.95,9.96,10400,0
SEAH-U.US,60,20201008,180000,9.966,9.966,9.965,9.965,200,0
SEAH-U.US,60,20201008,200000,9.96,9.97,9.96,9.9699,1100,0
SEAH-U.US,60,20201008,210000,9.96,9.96,9.95,9.96,302600,0
SEAH-U.US,60,20201008,220000,9.96,9.96,9.94,9.94,302550,0
SEAH-U.US,60,20201009,170000,9.95,9.955,9.94,9.95,52200,0
SEAH-U.US,60,20201009,180000,9.96,9.96,9.95,9.955,18000,0
SEAH-U.US,60,20201009,190000,9.955,9.96,9.95,9.96,25602,0
SEAH-U.US,60,20201009,200000,9.955,9.96,9.93,9.94,26533,0
SEAH-U.US,60,20201009,210000,9.945,9.95,9.945,9.95,51500,0
SEAH-U.US,60,20201009,220000,9.95,9.955,9.94,9.95,69734,0
SEAH-U.US,60,20201012,160000,10,10,9.96,10,124401,0
SEAH-U.US,60,20201012,170000,10,10.88,9.995,10.11,1357677,0
SEAH-U.US,60,20201012,180000,10.11,10.11,10.07,10.09,119831,0
SEAH-U.US,60,20201012,190000,10.1,10.14,10.1,10.11,197731,0
SEAH-U.US,60,20201012,200000,10.11,10.15,10.1,10.1058,51233,0
SEAH-U.US,60,20201012,210000,10.105,10.125,10.09,10.1,565513,0
SEAH-U.US,60,20201012,220000,10.1,10.17,10.08,10.17,793833,0
SEAH-U.US,60,20201013,160000,10.05,10.08,10.05,10.06,191201,0
SEAH-U.US,60,20201013,170000,10.06,10.08,10.05,10.069,138404,0
SEAH-U.US,60,20201013,180000,10.067,10.07,10.06,10.07,91578,0
SEAH-U.US,60,20201013,190000,10.08,10.08,10.04,10.04,279375,0
SEAH-U.US,60,20201013,200000,10.0599,10.0599,10.03,10.035,77081,0
SEAH-U.US,60,20201013,210000,10.035,10.05,10.03,10.045,45154,0
SEAH-U.US,60,20201013,220000,10.05,10.06,10.04,10.05,120864,0
SEAH-U.US,60,20201014,160000,10.08,10.2311,10.07,10.15,114518,0
SEAH-U.US,60,20201014,170000,10.145,10.18,10.1,10.12,97698,0
SEAH-U.US,60,20201014,180000,10.12,10.13,10.1,10.1,21979,0
SEAH-U.US,60,20201014,190000,10.1,10.11,10.05,10.05,56192,0
SEAH-U.US,60,20201014,200000,10.05,10.06,10.05,10.0501,65072,0
