<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEMR.US,60,20210325,180000,11.5,12.14,11.19,11.51,2343082,0
SEMR.US,60,20210325,190000,11.51,11.53,10.62,11.28,1165663,0
SEMR.US,60,20210325,200000,11.28,11.47,10.93,11.135,626806,0
SEMR.US,60,20210325,210000,11.135,11.9,11.12,11.22,1454291,0
SEMR.US,60,20210326,150000,11.73,11.85,11.41,11.65,235112,0
SEMR.US,60,20210326,160000,11.65,12.2934,11.6,11.94,246695,0
SEMR.US,60,20210326,170000,11.95,12.11,11.7404,11.86,179211,0
SEMR.US,60,20210326,180000,11.8,12.25,11.35,12.185,124897,0
SEMR.US,60,20210326,190000,12.1397,13,12.1,12.245,273840,0
SEMR.US,60,20210326,200000,12.245,12.3,11.5,11.64,225485,0
SEMR.US,60,20210326,210000,11.68,12.04,11.6357,11.8,316331,0
SEMR.US,60,20210329,160000,11.5,11.75,11.0301,11.415,33694,0
SEMR.US,60,20210329,170000,11.415,11.46,11.0655,11.1,58751,0
SEMR.US,60,20210329,180000,11.1,11.39,11.095,11.227,28016,0
SEMR.US,60,20210329,190000,11.22,12.17,11.22,11.96,106199,0
SEMR.US,60,20210329,200000,12.02,12.02,11.74,11.74,47509,0
SEMR.US,60,20210329,210000,11.66,11.78,11.265,11.415,77375,0
SEMR.US,60,20210329,220000,11.32,11.88,11.26,11.6,145339,0
SEMR.US,60,20210330,160000,11.38,11.59,11.12,11.245,31672,0
SEMR.US,60,20210330,170000,11.25,11.4,11.1498,11.32,80951,0
SEMR.US,60,20210330,180000,11.36,11.825,11.225,11.505,105657,0
SEMR.US,60,20210330,190000,11.55,11.785,11.37,11.69,17166,0
SEMR.US,60,20210330,200000,11.5845,11.8899,11.5,11.8,44415,0
SEMR.US,60,20210330,210000,11.71,11.74,11.55,11.66,23070,0
SEMR.US,60,20210330,220000,11.65,11.77,11.46,11.5,130799,0
SEMR.US,60,20210331,160000,11.67,12.15,11.51,12,37293,0
SEMR.US,60,20210331,170000,12.07,12.15,11.9424,12.12,44402,0
SEMR.US,60,20210331,180000,12.105,12.55,11.8154,12,57782,0
SEMR.US,60,20210331,190000,12.045,12.0899,11.99,12,20482,0
SEMR.US,60,20210331,200000,12,12.1,11.76,11.81,71233,0
SEMR.US,60,20210331,210000,11.9012,12.18,11.855,12.045,23027,0
SEMR.US,60,20210331,220000,12.045,12.14,11.91,11.91,87450,0
SEMR.US,60,20210401,160000,12.05,12.39,12.05,12.3,16157,0
SEMR.US,60,20210401,170000,12.37,13.1,12.35,12.94,134730,0
SEMR.US,60,20210401,180000,12.935,13.057,12.61,12.89,83135,0
SEMR.US,60,20210401,190000,12.97,13.04,12.84,13,78956,0
SEMR.US,60,20210401,200000,13.02,13.035,12.65,12.9,76000,0
SEMR.US,60,20210401,210000,12.89,13.1,12.83,12.94,93297,0
SEMR.US,60,20210401,220000,12.935,13.08,12.78,12.78,165552,0
SEMR.US,60,20210405,160000,13,13.16,12.3,12.36,52711,0
SEMR.US,60,20210405,170000,12.35,12.37,11.66,11.66,49428,0
SEMR.US,60,20210405,180000,11.6635,12.33,11.66,12.3237,35108,0
SEMR.US,60,20210405,190000,12.28,12.49,12.16,12.46,21726,0
SEMR.US,60,20210405,200000,12.44,12.46,11.96,12.25,42909,0
SEMR.US,60,20210405,210000,12.22,12.76,12.12,12.19,50558,0
SEMR.US,60,20210405,220000,12.11,12.34,11.88,11.88,70276,0
SEMR.US,60,20210406,160000,12.13,12.72,12.055,12.72,37284,0
SEMR.US,60,20210406,170000,12.72,12.9,12.41,12.51,41556,0
SEMR.US,60,20210406,180000,12.5,12.87,12.43,12.82,74202,0
SEMR.US,60,20210406,190000,12.8,12.9,12.6456,12.77,34898,0
SEMR.US,60,20210406,200000,12.77,12.9,12.645,12.81,32096,0
SEMR.US,60,20210406,210000,12.765,12.8599,12.42,12.55,27701,0
SEMR.US,60,20210406,220000,12.62,12.7,12.33,12.5,77660,0
SEMR.US,60,20210407,160000,12.85,13.09,12.655,12.95,41499,0
SEMR.US,60,20210407,170000,12.95,12.95,12.67,12.845,38510,0
SEMR.US,60,20210407,180000,12.81,12.9,12.81,12.87,11024,0
SEMR.US,60,20210407,190000,12.9,12.94,12.78,12.81,31691,0
SEMR.US,60,20210407,200000,12.78,12.8499,12.68,12.75,27642,0
SEMR.US,60,20210407,210000,12.76,12.83,12.75,12.78,29433,0
SEMR.US,60,20210407,220000,12.78,12.88,12.68,12.71,66193,0
SEMR.US,60,20210408,160000,13,13.33,12.885,13.03,60061,0
SEMR.US,60,20210408,170000,13.01,13.2,12.81,12.96,83448,0
SEMR.US,60,20210408,180000,12.96,13.16,12.95,13.09,68388,0
SEMR.US,60,20210408,190000,13.04,13.165,12.97,13,35156,0
SEMR.US,60,20210408,200000,13,13.19,13,13,26518,0
SEMR.US,60,20210408,210000,13,13.155,12.9601,13.0808,36265,0
SEMR.US,60,20210408,220000,13.07,13.18,12.96,13,125070,0
SEMR.US,60,20210409,160000,12.9,13.15,12.9,12.935,16918,0
SEMR.US,60,20210409,170000,12.93,13.06,12.9,13,28399,0
SEMR.US,60,20210409,180000,13,13.05,12.985,13,17159,0
SEMR.US,60,20210409,190000,13,13.03,12.98,13,18447,0
SEMR.US,60,20210409,200000,13.005,13.05,12.975,13.01,14123,0
SEMR.US,60,20210409,210000,13.01,13.1,12.96,12.98,23758,0
SEMR.US,60,20210409,220000,12.99,13.035,12.94,13,59910,0
SEMR.US,60,20210412,160000,13.02,13.57,13,13.485,15171,0
SEMR.US,60,20210412,170000,13.4,13.56,13.2333,13.45,35591,0
SEMR.US,60,20210412,180000,13.38,13.53,13.08,13.12,64133,0
SEMR.US,60,20210412,190000,13.1587,13.57,13.11,13.45,46848,0
SEMR.US,60,20210412,200000,13.395,13.49,13.21,13.36,33420,0
SEMR.US,60,20210412,210000,13.355,13.5,13.275,13.35,53589,0
SEMR.US,60,20210412,220000,13.4,13.71,13.365,13.56,55833,0
SEMR.US,60,20210413,160000,13.54,14.08,13.51,13.93,110259,0
SEMR.US,60,20210413,170000,13.89,14.02,13.89,14,62578,0
SEMR.US,60,20210413,180000,14,14.04,13.94,13.965,127234,0
SEMR.US,60,20210413,190000,13.975,14.39,13.935,14.24,68760,0
SEMR.US,60,20210413,200000,14.245,14.37,14,14.34,45640,0
SEMR.US,60,20210413,210000,14.37,14.39,14.13,14.3299,98579,0
SEMR.US,60,20210413,220000,14.26,14.39,14.06,14.32,88520,0
