<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFTW.US,60,20200914,160000,10.08,10.08,10.0798,10.08,1002,0
SFTW.US,60,20200914,170000,10.06,10.06,10.06,10.06,450,0
SFTW.US,60,20200914,190000,10.04,10.058,10.02,10.058,2200,0
SFTW.US,60,20200914,200000,10.02,10.02,10.02,10.02,512,0
SFTW.US,60,20200914,220000,10.01,10.03,10.01,10.03,200,0
SFTW.US,60,20200915,160000,9.98,9.98,9.98,9.98,138,0
SFTW.US,60,20200915,170000,9.995,10.05,9.995,10.04,125808,0
SFTW.US,60,20200915,180000,10.05,10.05,10.05,10.05,2965,0
SFTW.US,60,20200915,210000,10.055,10.06,10.05,10.06,800,0
SFTW.US,60,20200915,220000,10.0525,10.0525,10.0525,10.0525,100,0
SFTW.US,60,20200916,160000,10.05,10.05,10.05,10.05,1587,0
SFTW.US,60,20200916,170000,9.97,9.97,9.91,9.91,279,0
SFTW.US,60,20200916,180000,9.92,9.96,9.92,9.96,1004,0
SFTW.US,60,20200916,190000,9.9702,9.9702,9.9702,9.9702,100,0
SFTW.US,60,20200916,200000,10.01,10.05,10.01,10.05,11332,0
SFTW.US,60,20200916,220000,10.03,10.06,10.03,10.03,800,0
SFTW.US,60,20200917,160000,10.05,10.05,10.05,10.05,150,0
SFTW.US,60,20200917,180000,10.05,10.05,10.0374,10.05,8100,0
SFTW.US,60,20200917,190000,10.05,10.06,10.05,10.06,5550,0
SFTW.US,60,20200917,200000,10.07,10.09,10.0672,10.0672,7153,0
SFTW.US,60,20200917,210000,10.06,10.08,10.05,10.06,76525,0
SFTW.US,60,20200917,220000,10.07,10.08,10.05,10.07,56838,0
SFTW.US,60,20200918,160000,10.08,10.08,10.08,10.08,600,0
SFTW.US,60,20200918,170000,10.079,10.079,10.0701,10.0701,246,0
SFTW.US,60,20200918,180000,10.11,10.11,10.11,10.11,65900,0
SFTW.US,60,20200918,190000,10.12,10.13,10.115,10.13,27550,0
SFTW.US,60,20200918,200000,10.14,10.14,10.14,10.14,500,0
SFTW.US,60,20200918,210000,10.14,10.14,10.14,10.14,27100,0
SFTW.US,60,20200918,220000,10.14,10.22,10.135,10.16,26575,0
SFTW.US,60,20200921,160000,10.19,10.19,10.19,10.19,100,0
SFTW.US,60,20200921,180000,10.18,10.18,10.18,10.18,100,0
SFTW.US,60,20200921,190000,10.16,10.16,10.16,10.16,11900,0
SFTW.US,60,20200921,200000,10.16,10.17,10.16,10.17,300,0
SFTW.US,60,20200921,220000,10.16,10.16,10.16,10.16,200,0
SFTW.US,60,20200922,180000,10.11,10.118,10.11,10.118,200,0
SFTW.US,60,20200922,190000,10.15,10.15,10.1416,10.15,3300,0
SFTW.US,60,20200922,200000,10.15,10.15,10.15,10.15,100,0
SFTW.US,60,20200922,210000,10.15,10.15,10.15,10.15,32756,0
SFTW.US,60,20200922,220000,10.18,10.2,10.15,10.15,17491,0
SFTW.US,60,20200923,210000,10.05,10.05,10.05,10.05,1000,0
SFTW.US,60,20200923,220000,10.1,10.1,10.1,10.1,100,0
SFTW.US,60,20200924,160000,10.02,10.05,10.01,10.02,5774,0
SFTW.US,60,20200924,170000,10.02,10.02,9.96,9.96,11520,0
SFTW.US,60,20200924,180000,9.97,10.01,9.97,10.01,50212,0
SFTW.US,60,20200924,190000,10.01,10.01,10.01,10.01,10000,0
SFTW.US,60,20200924,220000,10.04,10.06,10.04,10.06,2100,0
SFTW.US,60,20200925,170000,10.05,10.06,10.02,10.06,6397,0
SFTW.US,60,20200925,180000,10.04,10.04,10.04,10.04,500,0
SFTW.US,60,20200925,190000,10.045,10.045,10.045,10.045,200,0
SFTW.US,60,20200925,200000,10.045,10.07,10.04,10.055,6063,0
SFTW.US,60,20200925,210000,10.055,10.055,10.055,10.055,500,0
SFTW.US,60,20200925,220000,10.05,10.15,10.05,10.15,4184,0
SFTW.US,60,20200928,160000,10.29,10.29,10.16,10.1606,1100,0
SFTW.US,60,20200928,180000,10.12,10.12,10.11,10.11,784,0
SFTW.US,60,20200928,190000,10.18,10.18,10.18,10.18,200,0
SFTW.US,60,20200928,220000,10.15,10.2,10.15,10.15,2339,0
SFTW.US,60,20200929,160000,10.18,10.18,10.12,10.12,300,0
SFTW.US,60,20200929,180000,10.13,10.13,10.13,10.13,400,0
SFTW.US,60,20200929,200000,10.1563,10.1563,10.145,10.145,344,0
SFTW.US,60,20200929,210000,10.15,10.15,10.145,10.15,1700,0
SFTW.US,60,20200929,220000,10.14,10.1796,10.13,10.13,8104,0
SFTW.US,60,20200930,160000,10.15,10.15,10.15,10.15,100,0
SFTW.US,60,20200930,170000,10.15,10.2,10.15,10.2,27898,0
SFTW.US,60,20200930,220000,10.19,10.19,10.19,10.19,100,0
