<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBC.US,60,20200914,160000,27.2,27.25,27.2,27.25,5263,0
TBC.US,60,20200914,170000,27.2064,27.29,27.2064,27.2899,2137,0
TBC.US,60,20200914,180000,27.28,27.34,27.28,27.3,2777,0
TBC.US,60,20200914,190000,27.2792,27.3,27.2792,27.282,1937,0
TBC.US,60,20200914,200000,27.31,27.31,27.23,27.29,3329,0
TBC.US,60,20200914,210000,27.285,27.285,27.21,27.2433,3237,0
TBC.US,60,20200914,220000,27.2,27.3,27.19,27.2,9193,0
TBC.US,60,20200915,160000,27.23,27.35,27.23,27.285,9220,0
TBC.US,60,20200915,170000,27.35,27.35,27.23,27.25,6742,0
TBC.US,60,20200915,180000,27.25,27.25,27.22,27.25,18855,0
TBC.US,60,20200915,190000,27.25,27.25,27.24,27.25,17367,0
TBC.US,60,20200915,200000,27.25,27.29,27.2465,27.2842,11348,0
TBC.US,60,20200915,210000,27.3294,27.3294,27.26,27.312,7027,0
TBC.US,60,20200915,220000,27.3,27.31,27.25,27.29,5329,0
TBC.US,60,20200916,160000,27.3,27.3,27.29,27.29,2740,0
TBC.US,60,20200916,170000,27.32,27.39,27.29,27.39,12996,0
TBC.US,60,20200916,180000,27.36,27.36,27.33,27.36,1467,0
TBC.US,60,20200916,190000,27.35,27.3851,27.28,27.3,14139,0
TBC.US,60,20200916,200000,27.3,27.36,27.26,27.31,6961,0
TBC.US,60,20200916,210000,27.3,27.36,27.28,27.3,3540,0
TBC.US,60,20200916,220000,27.3,27.3219,27.26,27.26,16781,0
TBC.US,60,20200917,160000,27.18,27.25,27.18,27.24,5213,0
TBC.US,60,20200917,170000,27.24,27.33,27.23,27.24,5575,0
TBC.US,60,20200917,180000,27.24,27.25,27.23,27.2474,4494,0
TBC.US,60,20200917,190000,27.23,27.25,27.2,27.2,12261,0
TBC.US,60,20200917,200000,27.2,27.224,27.17,27.22,1865,0
TBC.US,60,20200917,210000,27.17,27.22,27.16,27.19,3557,0
TBC.US,60,20200917,220000,27.15,27.19,27.13,27.15,3365,0
TBC.US,60,20200918,160000,27.2,27.2,27.13,27.13,1727,0
TBC.US,60,20200918,170000,27.16,27.17,27.13,27.13,6080,0
TBC.US,60,20200918,180000,27.13,27.146,27.1,27.1,5707,0
TBC.US,60,20200918,190000,27.1,27.103,27.08,27.08,3055,0
TBC.US,60,20200918,200000,27.08,27.0999,27.02,27.0445,12053,0
TBC.US,60,20200918,210000,27.03,27.18,27.01,27.09,16663,0
TBC.US,60,20200918,220000,27.15,27.15,27.02,27.02,10893,0
TBC.US,60,20200921,160000,26.99,26.99,26.92,26.93,17370,0
TBC.US,60,20200921,170000,26.95,26.95,26.9,26.95,5600,0
TBC.US,60,20200921,180000,26.95,26.96,26.9,26.95,7883,0
TBC.US,60,20200921,190000,26.95,26.96,26.92,26.9479,10714,0
TBC.US,60,20200921,200000,26.95,26.96,26.92,26.93,12371,0
TBC.US,60,20200921,210000,26.95,26.95,26.9203,26.9327,7364,0
TBC.US,60,20200921,220000,26.95,26.97,26.935,26.97,8428,0
TBC.US,60,20200922,160000,27,27.02,26.95,26.95,24427,0
TBC.US,60,20200922,170000,26.98,27.08,26.96,27.08,69243,0
TBC.US,60,20200922,180000,27.0731,27.08,27.01,27.01,6406,0
TBC.US,60,20200922,190000,27.01,27.05,27,27.02,12816,0
TBC.US,60,20200922,200000,27.05,27.08,27.02,27.04,10435,0
TBC.US,60,20200922,210000,27.05,27.11,27.03,27.04,22470,0
TBC.US,60,20200922,220000,27.04,27.1,27.03,27.1,11412,0
TBC.US,60,20200923,160000,27.11,27.18,27.11,27.14,7472,0
TBC.US,60,20200923,170000,27.13,27.16,27.05,27.1,5517,0
TBC.US,60,20200923,180000,27.1044,27.11,27.04,27.0799,20898,0
TBC.US,60,20200923,190000,27.0661,27.09,27.01,27.0754,14375,0
TBC.US,60,20200923,200000,27.07,27.08,27,27.01,20408,0
TBC.US,60,20200923,210000,27.02,27.06,27.01,27.02,35602,0
TBC.US,60,20200923,220000,27.03,27.08,26.95,27,53646,0
TBC.US,60,20200924,160000,26.94,27,26.89,26.9659,11038,0
TBC.US,60,20200924,170000,27,27.05,26.91,26.91,3260,0
TBC.US,60,20200924,180000,26.95,27.01,26.91,26.95,6156,0
TBC.US,60,20200924,190000,27.01,27.01,26.95,26.9502,6352,0
TBC.US,60,20200924,200000,26.9824,27.01,26.9335,26.95,5826,0
TBC.US,60,20200924,210000,26.94,26.9934,26.93,26.96,6574,0
TBC.US,60,20200924,220000,26.95,26.98,26.92,26.94,8975,0
TBC.US,60,20200925,160000,26.99,27.03,26.95,27.03,7050,0
TBC.US,60,20200925,170000,27.01,27.05,26.9706,26.973,19814,0
TBC.US,60,20200925,180000,26.99,27.083,26.98,27.02,87929,0
TBC.US,60,20200925,190000,27.0654,27.0784,27.02,27.03,7887,0
TBC.US,60,20200925,200000,27.0409,27.1021,27.02,27.038,9090,0
TBC.US,60,20200925,210000,27.0745,27.1099,27.06,27.08,4151,0
TBC.US,60,20200925,220000,27.07,27.1093,27.01,27.06,10278,0
TBC.US,60,20200928,160000,27.2,27.2,27.11,27.11,9149,0
TBC.US,60,20200928,170000,27.1475,27.175,27.1,27.13,10005,0
TBC.US,60,20200928,180000,27.11,27.15,27.11,27.12,9860,0
TBC.US,60,20200928,190000,27.13,27.145,27.12,27.13,5971,0
TBC.US,60,20200928,200000,27.1318,27.15,27.13,27.13,3310,0
TBC.US,60,20200928,210000,27.13,27.1398,27.12,27.134,13302,0
TBC.US,60,20200928,220000,27.13,27.15,27.08,27.08,13513,0
TBC.US,60,20200929,160000,27.14,27.183,27.08,27.1096,4632,0
TBC.US,60,20200929,170000,27.0987,27.12,27.07,27.07,10900,0
TBC.US,60,20200929,180000,27.07,27.1,27.05,27.07,7973,0
TBC.US,60,20200929,190000,27.07,27.09,27.07,27.08,3767,0
TBC.US,60,20200929,200000,27.07,27.1,27.07,27.09,5170,0
TBC.US,60,20200929,210000,27.09,27.1,27.083,27.1,7837,0
TBC.US,60,20200929,220000,27.1,27.1,27.07,27.09,6444,0
TBC.US,60,20200930,160000,27.13,27.13,27.13,27.13,907,0
TBC.US,60,20200930,170000,27.15,27.17,27.15,27.17,2005,0
TBC.US,60,20200930,180000,27.19,27.19,27.15,27.19,8145,0
TBC.US,60,20200930,190000,27.19,27.19,27.1501,27.17,5489,0
TBC.US,60,20200930,200000,27.17,27.19,27.15,27.17,23540,0
TBC.US,60,20200930,210000,27.1684,27.24,27.07,27.16,35013,0
TBC.US,60,20200930,220000,27.12,27.15,26.97,26.98,120690,0
TBC.US,60,20201001,160000,27.12,27.12,27.11,27.11,2033,0
TBC.US,60,20201001,170000,27.07,27.13,27.07,27.08,8930,0
TBC.US,60,20201001,180000,27.0301,27.12,27.0301,27.08,3053,0
TBC.US,60,20201001,190000,27.1,27.13,27.0716,27.13,6813,0
TBC.US,60,20201001,200000,27.19,27.25,27.16,27.22,12098,0
TBC.US,60,20201001,210000,27.22,27.24,27.195,27.23,8866,0
TBC.US,60,20201001,220000,27.22,27.3,27.16,27.29,13378,0
TBC.US,60,20201002,160000,27.22,27.23,27.11,27.1673,13632,0
TBC.US,60,20201002,170000,27.12,27.195,27.1,27.11,18589,0
TBC.US,60,20201002,180000,27.15,27.2,27.12,27.16,18042,0
TBC.US,60,20201002,190000,27.16,27.1731,27.13,27.15,14226,0
TBC.US,60,20201002,200000,27.15,27.29,27.13,27.235,30422,0
TBC.US,60,20201002,210000,27.29,27.29,27.26,27.28,8791,0
TBC.US,60,20201002,220000,27.29,27.29,27.21,27.21,9352,0
TBC.US,60,20201005,160000,27.28,27.35,27.26,27.3139,12416,0
TBC.US,60,20201005,170000,27.36,27.36,27.28,27.35,3006,0
TBC.US,60,20201005,180000,27.35,27.39,27.35,27.3757,8744,0
TBC.US,60,20201005,190000,27.38,27.39,27.375,27.39,4353,0
TBC.US,60,20201005,200000,27.38,27.39,27.35,27.37,9668,0
TBC.US,60,20201005,210000,27.3851,27.43,27.37,27.41,20025,0
TBC.US,60,20201005,220000,27.42,27.43,27.38,27.42,17393,0
TBC.US,60,20201006,160000,27.48,27.481,27.41,27.41,2960,0
