<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGT.US,60,20200914,160000,147.41,148.51,147.1,148.32,196191,0
TGT.US,60,20200914,170000,148.39,149.24,147.43,148.24,340889,0
TGT.US,60,20200914,180000,148.25,148.57,146.94,146.95,225393,0
TGT.US,60,20200914,190000,146.89,147.56,146.85,147.37,186128,0
TGT.US,60,20200914,200000,147.31,147.49,146.71,147.08,172173,0
TGT.US,60,20200914,210000,147.06,147.57,146.86,147.28,153099,0
TGT.US,60,20200914,220000,147.28,147.64,146.93,147.3,586001,0
TGT.US,60,20200915,160000,146.98,147.96,146.98,147.46,136884,0
TGT.US,60,20200915,170000,147.49,147.57,146.23,147.27,277088,0
TGT.US,60,20200915,180000,147.25,148.07,147.23,147.78,163820,0
TGT.US,60,20200915,190000,147.78,148.04,147.6,147.78,105298,0
TGT.US,60,20200915,200000,147.77,147.94,147.37,147.4,96339,0
TGT.US,60,20200915,210000,147.43,148.69,147.37,148.54,309577,0
TGT.US,60,20200915,220000,148.5,148.52,147.58,147.93,554596,0
TGT.US,60,20200916,160000,148.2,148.57,147.27,148.45,133262,0
TGT.US,60,20200916,170000,148.48,148.58,147.72,147.81,217490,0
TGT.US,60,20200916,180000,147.8,148.16,147.61,147.61,122127,0
TGT.US,60,20200916,190000,147.64,147.82,147.41,147.79,169388,0
TGT.US,60,20200916,200000,147.78,147.78,147.29,147.62,94364,0
TGT.US,60,20200916,210000,147.66,148.4,147.45,147.95,172378,0
TGT.US,60,20200916,220000,147.92,148.19,146.78,146.86,585302,0
TGT.US,60,20200917,160000,146.26,147.6,145.43,147.23,175825,0
TGT.US,60,20200917,170000,147.25,147.63,146.75,147.06,184250,0
TGT.US,60,20200917,180000,147.07,147.63,146.47,146.74,132524,0
TGT.US,60,20200917,190000,146.69,146.73,146,146.7,241857,0
TGT.US,60,20200917,200000,146.63,147.02,146.38,146.6,104152,0
TGT.US,60,20200917,210000,146.6,146.95,146.19,146.27,102963,0
TGT.US,60,20200917,220000,146.28,146.87,145.93,146.48,760719,0
TGT.US,60,20200918,160000,146.59,147.33,146.13,147.24,455545,0
TGT.US,60,20200918,170000,147.23,148.05,147.17,147.43,275510,0
TGT.US,60,20200918,180000,147.51,148.32,147.37,148.19,203021,0
TGT.US,60,20200918,190000,148.19,148.37,147.18,147.63,182295,0
TGT.US,60,20200918,200000,147.63,147.69,146.36,146.73,156305,0
TGT.US,60,20200918,210000,146.74,146.88,146.35,146.77,162018,0
TGT.US,60,20200918,220000,146.81,148.06,146.76,147.68,1207247,0
TGT.US,60,20200921,160000,147.55,147.65,146.49,147.57,215025,0
TGT.US,60,20200921,170000,147.55,147.58,146.39,146.39,224597,0
TGT.US,60,20200921,180000,146.35,146.45,145.33,146.21,166064,0
TGT.US,60,20200921,190000,146.2,147.19,146.19,146.69,287482,0
TGT.US,60,20200921,200000,146.7,147.3,146.25,147.16,164115,0
TGT.US,60,20200921,210000,147.14,147.49,146.86,147.37,191478,0
TGT.US,60,20200921,220000,147.38,148.84,147.34,148.71,1046773,0
TGT.US,60,20200922,160000,150,151.54,149.78,150.48,456077,0
TGT.US,60,20200922,170000,150.46,152.52,150.26,151.79,910300,0
TGT.US,60,20200922,180000,151.79,152.39,151.33,152.19,314722,0
TGT.US,60,20200922,190000,152.2,152.99,152.2,152.41,267070,0
TGT.US,60,20200922,200000,152.44,153.25,152.31,152.9,214551,0
TGT.US,60,20200922,210000,152.93,153.18,152.57,152.9,207627,0
TGT.US,60,20200922,220000,152.9,152.99,152.34,152.9,867628,0
TGT.US,60,20200923,160000,152.71,154.01,152.39,153.11,169234,0
TGT.US,60,20200923,170000,153.16,153.72,152.16,152.26,234761,0
TGT.US,60,20200923,180000,152.28,152.94,151.05,151.07,188389,0
TGT.US,60,20200923,190000,151.03,151.27,149.81,151.27,304221,0
TGT.US,60,20200923,200000,151.27,151.86,150.97,151.11,192108,0
TGT.US,60,20200923,210000,151.08,151.17,149.85,149.88,193111,0
TGT.US,60,20200923,220000,149.89,150.31,149.22,149.86,788215,0
TGT.US,60,20200924,160000,150.46,150.81,148.95,150.76,202507,0
TGT.US,60,20200924,170000,150.76,151.79,149.92,150.69,245268,0
TGT.US,60,20200924,180000,150.7,151.61,150.42,151.6,147938,0
TGT.US,60,20200924,190000,151.6,151.82,150.77,151.32,132128,0
TGT.US,60,20200924,200000,151.35,152.39,151.25,151.54,168914,0
TGT.US,60,20200924,210000,151.54,151.71,150.71,150.71,201216,0
TGT.US,60,20200924,220000,150.73,151.27,150.41,150.83,1232398,0
TGT.US,60,20200925,160000,150.69,151.71,150.66,151.39,155222,0
TGT.US,60,20200925,170000,151.37,151.94,150.59,151.61,164428,0
TGT.US,60,20200925,180000,151.6,152.12,151.37,151.61,231720,0
TGT.US,60,20200925,190000,151.64,152.47,151.63,152.29,245935,0
TGT.US,60,20200925,200000,152.3,153.35,152.14,152.98,281901,0
TGT.US,60,20200925,210000,153.02,153.46,152.89,153.39,211710,0
TGT.US,60,20200925,220000,153.38,153.97,153.06,153.16,741161,0
TGT.US,60,20200928,160000,153.76,155.1,153.46,154.97,304911,0
TGT.US,60,20200928,170000,155.05,156.09,154.46,156.07,359239,0
TGT.US,60,20200928,180000,156.1,156.5,155.4,155.97,253638,0
TGT.US,60,20200928,190000,155.99,156.28,155.1,155.74,265512,0
TGT.US,60,20200928,200000,155.7,156.4,155.65,156.31,207357,0
TGT.US,60,20200928,210000,156.32,156.33,155.56,155.56,246670,0
TGT.US,60,20200928,220000,155.57,156.1,155.06,155.27,989652,0
TGT.US,60,20200929,160000,155.55,156.49,154.76,156.29,175924,0
TGT.US,60,20200929,170000,156.35,157.12,154.95,155.06,309223,0
TGT.US,60,20200929,180000,155,155.74,154.68,155.03,195463,0
TGT.US,60,20200929,190000,155.04,155.5,154.73,155.47,236815,0
TGT.US,60,20200929,200000,155.48,156.76,155.39,156.57,220711,0
TGT.US,60,20200929,210000,156.6,157.22,156.31,156.95,255235,0
TGT.US,60,20200929,220000,156.98,157.1,155.69,155.73,663914,0
TGT.US,60,20200930,160000,156.05,156.45,155.88,156.35,106632,0
TGT.US,60,20200930,170000,156.41,156.82,156.14,156.44,227275,0
TGT.US,60,20200930,180000,156.43,157.51,156.25,156.92,194965,0
TGT.US,60,20200930,190000,156.93,157.93,156.91,157.59,199536,0
TGT.US,60,20200930,200000,157.61,157.71,156.75,157.46,190078,0
TGT.US,60,20200930,210000,157.5,157.69,155.85,156.64,261906,0
TGT.US,60,20200930,220000,156.61,156.95,155.31,156.21,908448,0
TGT.US,60,20201001,160000,157.18,158.37,156.89,158.02,263944,0
TGT.US,60,20201001,170000,157.75,158.55,156.97,158.29,295355,0
TGT.US,60,20201001,180000,158.31,159.35,158.08,158.72,342321,0
TGT.US,60,20201001,190000,158.71,159.66,158.43,158.79,335353,0
TGT.US,60,20201001,200000,158.8,159.32,158.5,158.57,351861,0
TGT.US,60,20201001,210000,158.57,158.59,157.36,157.86,347763,0
TGT.US,60,20201001,220000,157.89,158.23,156.97,157.39,715870,0
TGT.US,60,20201002,160000,155.76,157.39,154.97,157.18,126336,0
TGT.US,60,20201002,170000,157.19,157.92,156.37,157.22,119682,0
TGT.US,60,20201002,180000,157.17,158.14,156.85,156.86,107808,0
TGT.US,60,20201002,190000,156.88,158.55,156.53,158.45,181703,0
TGT.US,60,20201002,200000,158.44,158.76,157.5,157.88,167728,0
TGT.US,60,20201002,210000,157.93,158.66,157.93,158.47,138527,0
TGT.US,60,20201002,220000,158.45,158.74,157.64,157.89,537517,0
TGT.US,60,20201005,160000,158.76,160.43,158.76,160.39,179403,0
TGT.US,60,20201005,170000,160.42,160.8,159.81,159.82,233462,0
TGT.US,60,20201005,180000,159.88,161.07,159.77,160.42,207484,0
TGT.US,60,20201005,190000,160.4,160.47,159.46,159.7,168493,0
TGT.US,60,20201005,200000,159.71,160.17,159.45,159.51,135600,0
TGT.US,60,20201005,210000,159.47,160.16,159.35,159.91,200465,0
TGT.US,60,20201005,220000,159.94,160.35,159.79,160.26,480426,0
TGT.US,60,20201006,160000,160.24,160.74,159.81,160.41,189821,0
TGT.US,60,20201006,170000,160.36,160.47,158.63,158.9,268697,0
TGT.US,60,20201006,180000,158.86,159.73,158.85,159.33,188486,0
TGT.US,60,20201006,190000,159.29,160.23,159.27,159.97,119840,0
TGT.US,60,20201006,200000,159.99,160.04,159.64,159.71,123840,0
TGT.US,60,20201006,210000,159.71,160.17,156.56,157.39,406195,0
TGT.US,60,20201006,220000,157.35,157.55,156.4,157.2,809768,0
TGT.US,60,20201007,160000,158.83,160.36,158.77,159.75,183664,0
TGT.US,60,20201007,170000,159.75,160.31,158.39,159.96,248901,0
TGT.US,60,20201007,180000,159.96,160.21,159.01,159.01,170359,0
TGT.US,60,20201007,190000,158.99,159.51,158.77,159.34,159153,0
TGT.US,60,20201007,200000,159.38,159.97,159.28,159.63,117623,0
TGT.US,60,20201007,210000,159.65,160.14,159.62,160.05,157085,0
TGT.US,60,20201007,220000,160.04,160.37,159.13,159.45,992471,0
TGT.US,60,20201008,160000,161.35,162.03,160.75,161.73,256586,0
TGT.US,60,20201008,170000,161.89,162.07,160.6,160.93,169409,0
TGT.US,60,20201008,180000,160.9,161.15,160.2,160.22,181768,0
TGT.US,60,20201008,190000,160.24,160.84,160.16,160.74,159083,0
TGT.US,60,20201008,200000,160.76,161.02,160.53,160.77,123960,0
TGT.US,60,20201008,210000,160.76,161.12,160.64,160.91,152365,0
TGT.US,60,20201008,220000,160.89,160.99,160.54,160.62,532495,0
TGT.US,60,20201009,160000,160.96,162.29,160.86,161.68,163747,0
TGT.US,60,20201009,170000,161.71,163.05,161.42,162.6,346153,0
TGT.US,60,20201009,180000,162.6,162.77,162.06,162.59,194670,0
TGT.US,60,20201009,190000,162.58,163.49,162.53,163.14,268647,0
TGT.US,60,20201009,200000,163.12,163.55,163,163.18,134795,0
TGT.US,60,20201009,210000,163.14,163.23,162.65,162.66,196254,0
TGT.US,60,20201009,220000,162.66,162.72,162.12,162.46,687472,0
TGT.US,60,20201012,160000,163.04,163.43,162.41,162.96,276192,0
TGT.US,60,20201012,170000,162.95,163.34,162.37,162.86,188729,0
TGT.US,60,20201012,180000,162.87,163.62,162.79,163.42,161500,0
TGT.US,60,20201012,190000,163.4,163.72,163.26,163.45,90053,0
TGT.US,60,20201012,200000,163.47,163.91,163.29,163.53,120265,0
TGT.US,60,20201012,210000,163.57,164.22,163.49,163.95,216352,0
TGT.US,60,20201012,220000,163.9,163.92,162.92,163.31,703426,0
TGT.US,60,20201013,160000,163.34,164.36,162.89,163.82,188304,0
TGT.US,60,20201013,170000,163.91,164.91,163.42,164.87,188741,0
