<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USA.US,60,20200914,160000,5.6295,5.6865,5.6199,5.6675,61693,0
USA.US,60,20200914,170000,5.6698,5.6961,5.6675,5.6675,63493,0
USA.US,60,20200914,180000,5.6709,5.6769,5.6675,5.6769,51886,0
USA.US,60,20200914,190000,5.6761,5.6913,5.6675,5.6904,48681,0
USA.US,60,20200914,200000,5.6913,5.6961,5.6723,5.6817,79719,0
USA.US,60,20200914,210000,5.6834,5.6865,5.6579,5.6579,100472,0
USA.US,60,20200914,220000,5.6675,5.6769,5.6627,5.6675,97097,0
USA.US,60,20200915,160000,5.7245,5.7435,5.7245,5.7293,74042,0
USA.US,60,20200915,170000,5.7341,5.7341,5.7055,5.7341,79183,0
USA.US,60,20200915,180000,5.7341,5.7435,5.7245,5.7389,174051,0
USA.US,60,20200915,190000,5.7369,5.7531,5.7341,5.7531,98951,0
USA.US,60,20200915,200000,5.753,5.7625,5.7435,5.758,80691,0
USA.US,60,20200915,210000,5.7531,5.7531,5.7245,5.7435,76780,0
USA.US,60,20200915,220000,5.7435,5.7531,5.7151,5.7531,289263,0
USA.US,60,20200916,160000,5.7721,5.7721,5.7531,5.7613,104286,0
USA.US,60,20200916,170000,5.7625,5.7911,5.7546,5.7816,147437,0
USA.US,60,20200916,180000,5.7816,5.8101,5.7765,5.8062,66928,0
USA.US,60,20200916,190000,5.8101,5.8197,5.7911,5.8006,131876,0
USA.US,60,20200916,200000,5.7911,5.8006,5.7824,5.7911,144112,0
USA.US,60,20200916,210000,5.7911,5.8197,5.7816,5.8091,117180,0
USA.US,60,20200916,220000,5.8053,5.8149,5.7769,5.7816,262097,0
USA.US,60,20200917,160000,5.7245,5.7245,5.6961,5.7141,143535,0
USA.US,60,20200917,170000,5.7103,5.7435,5.7055,5.7341,111430,0
USA.US,60,20200917,180000,5.734,5.7435,5.7197,5.7197,49914,0
USA.US,60,20200917,190000,5.7159,5.723,5.6865,5.7103,171405,0
USA.US,60,20200917,200000,5.7103,5.7151,5.6961,5.7114,41923,0
USA.US,60,20200917,210000,5.7055,5.7151,5.6951,5.7055,52229,0
USA.US,60,20200917,220000,5.7055,5.7435,5.6865,5.7435,182119,0
USA.US,60,20200918,160000,5.7625,5.7625,5.7245,5.7341,145616,0
USA.US,60,20200918,170000,5.7341,5.7483,5.7245,5.7245,108695,0
USA.US,60,20200918,180000,5.7293,5.7341,5.7103,5.7245,62381,0
USA.US,60,20200918,190000,5.7151,5.7189,5.6961,5.7044,68083,0
USA.US,60,20200918,200000,5.7029,5.7055,5.6769,5.677,181301,0
USA.US,60,20200918,210000,5.6769,5.6832,5.6769,5.6769,55657,0
USA.US,60,20200918,220000,5.6817,5.7055,5.6769,5.7055,117875,0
USA.US,60,20200921,160000,5.6485,5.6961,5.5629,5.5819,184303,0
USA.US,60,20200921,170000,5.5838,5.5838,5.5153,5.5343,195049,0
USA.US,60,20200921,180000,5.5343,5.5533,5.5058,5.5343,97262,0
USA.US,60,20200921,190000,5.5439,5.5629,5.534,5.534,50901,0
USA.US,60,20200921,200000,5.5339,5.5819,5.5296,5.5818,148235,0
USA.US,60,20200921,210000,5.574,5.574,5.5533,5.5724,146970,0
USA.US,60,20200921,220000,5.5707,5.6199,5.5707,5.6199,169940,0
USA.US,60,20200922,160000,5.6342,5.6437,5.6046,5.6046,58127,0
USA.US,60,20200922,170000,5.6105,5.6315,5.6057,5.6105,178599,0
USA.US,60,20200922,180000,5.6105,5.6295,5.5754,5.5905,351121,0
USA.US,60,20200922,190000,5.5914,5.6008,5.5724,5.5819,173960,0
USA.US,60,20200922,200000,5.582,5.6108,5.5819,5.6105,42803,0
USA.US,60,20200922,210000,5.6136,5.6295,5.6009,5.6295,54395,0
USA.US,60,20200922,220000,5.6295,5.6485,5.6199,5.6485,84349,0
USA.US,60,20200923,160000,5.6675,5.6675,5.6105,5.6105,149191,0
USA.US,60,20200923,170000,5.6189,5.6485,5.6105,5.6342,206502,0
USA.US,60,20200923,180000,5.6342,5.6485,5.6105,5.6105,160101,0
USA.US,60,20200923,190000,5.6092,5.6105,5.6009,5.6059,58137,0
USA.US,60,20200923,200000,5.6105,5.6105,5.5629,5.5965,335648,0
USA.US,60,20200923,210000,5.6009,5.6009,5.5201,5.5201,156950,0
USA.US,60,20200923,220000,5.5153,5.5533,5.5058,5.5249,277425,0
USA.US,60,20200924,160000,5.5153,5.5249,5.4773,5.4963,147914,0
USA.US,60,20200924,170000,5.4963,5.5343,5.4773,5.4979,118366,0
USA.US,60,20200924,180000,5.4963,5.5249,5.4773,5.5182,102080,0
USA.US,60,20200924,190000,5.5232,5.5343,5.5153,5.5343,66589,0
USA.US,60,20200924,200000,5.5343,5.5724,5.5343,5.5439,57024,0
USA.US,60,20200924,210000,5.5527,5.5533,5.5152,5.5201,66602,0
USA.US,60,20200924,220000,5.5153,5.5249,5.4773,5.5058,227907,0
USA.US,60,20200925,160000,5.4868,5.5058,5.4868,5.4963,66927,0
USA.US,60,20200925,170000,5.5011,5.5249,5.4828,5.5201,76975,0
USA.US,60,20200925,180000,5.5249,5.542,5.5058,5.5106,77375,0
USA.US,60,20200925,190000,5.5106,5.5249,5.5106,5.5201,31966,0
USA.US,60,20200925,200000,5.5249,5.5427,5.5249,5.5391,37570,0
USA.US,60,20200925,210000,5.5439,5.5819,5.5422,5.5815,113082,0
USA.US,60,20200925,220000,5.5819,5.6199,5.5724,5.6105,162291,0
USA.US,60,20200928,160000,5.7055,5.7055,5.6579,5.6579,176748,0
USA.US,60,20200928,170000,5.658,5.6961,5.6485,5.678,116379,0
USA.US,60,20200928,180000,5.6865,5.6961,5.6676,5.6769,92217,0
USA.US,60,20200928,190000,5.6769,5.6865,5.6675,5.6779,86780,0
USA.US,60,20200928,200000,5.6786,5.6865,5.6675,5.6865,127073,0
USA.US,60,20200928,210000,5.6913,5.6961,5.6723,5.6817,109299,0
USA.US,60,20200928,220000,5.6769,5.6865,5.6675,5.6769,88731,0
USA.US,60,20200929,160000,5.6961,5.7055,5.6864,5.6961,60129,0
USA.US,60,20200929,170000,5.6913,5.7055,5.6769,5.6769,94020,0
USA.US,60,20200929,180000,5.6691,5.6865,5.6485,5.6675,67096,0
USA.US,60,20200929,190000,5.6674,5.6675,5.6485,5.6579,56371,0
USA.US,60,20200929,200000,5.6627,5.6791,5.6485,5.6675,137013,0
USA.US,60,20200929,210000,5.6723,5.6865,5.6675,5.6723,63947,0
USA.US,60,20200929,220000,5.6677,5.6865,5.6675,5.6865,57277,0
USA.US,60,20200930,160000,5.6961,5.7245,5.6961,5.7152,44449,0
USA.US,60,20200930,170000,5.7341,5.7435,5.7293,5.7388,72638,0
USA.US,60,20200930,180000,5.7341,5.7531,5.7341,5.7435,155581,0
USA.US,60,20200930,190000,5.7514,5.7721,5.7435,5.7435,100135,0
USA.US,60,20200930,200000,5.7483,5.7721,5.7435,5.7625,69365,0
USA.US,60,20200930,210000,5.7625,5.7625,5.7166,5.7341,87180,0
USA.US,60,20200930,220000,5.7293,5.7435,5.6865,5.7151,141295,0
USA.US,60,20201001,160000,5.7531,5.8006,5.7523,5.7551,106873,0
USA.US,60,20201001,170000,5.7384,5.7531,5.7245,5.7245,80576,0
USA.US,60,20201001,180000,5.7341,5.7624,5.7279,5.7534,21481,0
USA.US,60,20201001,190000,5.7624,5.7721,5.7435,5.7531,66174,0
USA.US,60,20201001,200000,5.7483,5.7721,5.7341,5.7341,69216,0
USA.US,60,20201001,210000,5.7464,5.7579,5.7245,5.7435,46189,0
USA.US,60,20201001,220000,5.7531,5.7531,5.7245,5.7341,75540,0
USA.US,60,20201002,160000,5.6769,5.7055,5.6105,5.6817,94682,0
USA.US,60,20201002,170000,5.6865,5.7151,5.6817,5.6865,88625,0
USA.US,60,20201002,180000,5.6865,5.6961,5.6675,5.6675,107256,0
USA.US,60,20201002,190000,5.6675,5.7245,5.6675,5.7151,54223,0
USA.US,60,20201002,200000,5.7151,5.7341,5.7055,5.7151,77009,0
USA.US,60,20201002,210000,5.7055,5.7245,5.7055,5.7152,79867,0
USA.US,60,20201002,220000,5.7151,5.7245,5.6865,5.6865,179032,0
USA.US,60,20201005,160000,5.7531,5.7721,5.7435,5.7625,88239,0
USA.US,60,20201005,170000,5.7579,5.7816,5.7531,5.7721,147418,0
USA.US,60,20201005,180000,5.7754,5.7911,5.7673,5.7721,97102,0
USA.US,60,20201005,190000,5.7721,5.7816,5.7625,5.7737,79231,0
USA.US,60,20201005,200000,5.7769,5.7816,5.7673,5.7673,54469,0
USA.US,60,20201005,210000,5.7673,5.7863,5.7625,5.7863,121517,0
USA.US,60,20201005,220000,5.7863,5.8006,5.7816,5.8006,141146,0
USA.US,60,20201006,160000,5.7911,5.8006,5.7911,5.8006,75071,0
USA.US,60,20201006,170000,5.7964,5.8291,5.7911,5.8101,146074,0
USA.US,60,20201006,180000,5.8149,5.8149,5.7911,5.8005,71814,0
USA.US,60,20201006,190000,5.7991,5.8088,5.7911,5.8015,56115,0
USA.US,60,20201006,200000,5.8096,5.8387,5.8015,5.8339,104206,0
