<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UWMC.US,60,20200914,160000,10.668,10.668,10.431,10.638,691,0
UWMC.US,60,20200914,170000,10.668,10.668,10.544,10.544,303,0
UWMC.US,60,20200914,180000,10.549,10.549,10.549,10.549,1653,0
UWMC.US,60,20200914,200000,10.658,10.668,10.658,10.668,1262,0
UWMC.US,60,20200914,210000,10.668,10.668,10.668,10.668,202,0
UWMC.US,60,20200914,220000,10.668,10.668,10.559,10.668,5482,0
UWMC.US,60,20200915,160000,10.717,10.717,10.717,10.717,391,0
UWMC.US,60,20200915,170000,10.687,10.687,10.549,10.658,1215,0
UWMC.US,60,20200915,180000,10.658,10.658,10.608,10.658,304,0
UWMC.US,60,20200915,190000,10.658,10.668,10.658,10.658,1500,0
UWMC.US,60,20200915,200000,10.658,10.658,10.549,10.56,405,0
UWMC.US,60,20200915,210000,10.658,10.658,10.658,10.658,303,0
UWMC.US,60,20200915,220000,10.658,10.668,10.549,10.559,9665,0
UWMC.US,60,20200916,160000,10.687,10.717,10.594,10.594,676,0
UWMC.US,60,20200916,170000,10.618,10.697,10.519,10.618,4135,0
UWMC.US,60,20200916,180000,10.618,10.673,10.618,10.668,2835,0
UWMC.US,60,20200916,190000,10.628,10.668,10.618,10.628,1093,0
UWMC.US,60,20200916,200000,10.628,10.658,10.628,10.628,717,0
UWMC.US,60,20200916,210000,10.633,10.633,10.628,10.628,795,0
UWMC.US,60,20200916,220000,10.633,10.648,10.628,10.628,1211,0
UWMC.US,60,20200917,160000,10.717,10.717,10.717,10.717,233,0
UWMC.US,60,20200917,170000,10.717,10.717,10.618,10.678,15085,0
UWMC.US,60,20200917,180000,10.678,10.692,10.668,10.668,2471,0
UWMC.US,60,20200917,190000,10.682,10.717,10.648,10.668,3442,0
UWMC.US,60,20200917,200000,10.668,10.717,10.668,10.668,3341,0
UWMC.US,60,20200917,210000,10.668,10.717,10.648,10.717,4859,0
UWMC.US,60,20200917,220000,10.737,10.766,10.668,10.717,9392,0
UWMC.US,60,20200918,160000,10.648,10.717,10.648,10.717,203,0
UWMC.US,60,20200918,170000,10.717,10.722,10.717,10.717,1721,0
UWMC.US,60,20200918,180000,10.722,10.722,10.717,10.722,1316,0
UWMC.US,60,20200918,190000,10.766,10.766,10.682,10.717,10804,0
UWMC.US,60,20200918,200000,10.717,10.717,10.717,10.717,1255,0
UWMC.US,60,20200918,210000,10.727,10.771,10.678,10.771,12394,0
UWMC.US,60,20200918,220000,10.771,10.865,10.717,10.865,207010,0
UWMC.US,60,20200921,160000,10.865,11.063,10.865,11.063,2063,0
UWMC.US,60,20200921,170000,10.865,10.865,10.589,10.618,10565,0
UWMC.US,60,20200921,180000,10.618,10.618,10.613,10.618,9618,0
UWMC.US,60,20200921,190000,10.668,10.766,10.618,10.766,30271,0
UWMC.US,60,20200921,200000,11.008,11.008,11.008,11.008,101,0
UWMC.US,60,20200921,210000,10.86,10.86,10.668,10.668,2903,0
UWMC.US,60,20200921,220000,10.816,10.816,10.668,10.806,21545,0
UWMC.US,60,20200922,160000,10.773,10.773,10.559,10.633,2322,0
UWMC.US,60,20200922,170000,10.549,10.845,10.47,10.47,4091,0
UWMC.US,60,20200922,180000,10.49,10.766,10.47,10.766,1114,0
UWMC.US,60,20200922,190000,10.613,10.618,10.608,10.618,375,0
UWMC.US,60,20200922,200000,10.47,10.618,10.47,10.618,23771,0
UWMC.US,60,20200922,220000,10.638,10.678,10.628,10.678,7248,0
UWMC.US,60,20200923,160000,11.211,11.25,10.638,10.702,1225684,0
UWMC.US,60,20200923,170000,10.702,10.717,10.223,10.505,1455403,0
UWMC.US,60,20200923,180000,10.539,10.559,10.273,10.49,1189292,0
UWMC.US,60,20200923,190000,10.481,10.5,10.371,10.445,382586,0
UWMC.US,60,20200923,200000,10.44,10.579,10.421,10.47,303644,0
UWMC.US,60,20200923,210000,10.47,10.48,10.253,10.263,351347,0
UWMC.US,60,20200923,220000,10.263,10.322,10.223,10.322,632164,0
UWMC.US,60,20200924,160000,10.401,10.42,10.075,10.213,136069,0
UWMC.US,60,20200924,170000,10.213,10.233,10.213,10.223,131256,0
UWMC.US,60,20200924,180000,10.223,10.239,10.124,10.144,440759,0
UWMC.US,60,20200924,190000,10.144,10.223,10.134,10.223,119116,0
UWMC.US,60,20200924,200000,10.223,10.223,10.144,10.164,77831,0
UWMC.US,60,20200924,210000,10.144,10.213,10.095,10.095,234180,0
UWMC.US,60,20200924,220000,10.1,10.117,10.016,10.075,591916,0
UWMC.US,60,20200925,160000,10.154,10.174,10.045,10.045,49240,0
UWMC.US,60,20200925,170000,10.085,10.233,10.045,10.203,88089,0
UWMC.US,60,20200925,180000,10.184,10.223,10.144,10.174,545049,0
UWMC.US,60,20200925,190000,10.174,10.253,10.174,10.243,540603,0
UWMC.US,60,20200925,200000,10.243,10.371,10.233,10.302,57181,0
UWMC.US,60,20200925,210000,10.302,10.371,10.273,10.337,52043,0
UWMC.US,60,20200925,220000,10.322,10.342,10.223,10.223,101039,0
UWMC.US,60,20200928,160000,10.361,10.371,10.223,10.248,39984,0
UWMC.US,60,20200928,170000,10.253,10.322,10.174,10.302,32559,0
UWMC.US,60,20200928,180000,10.273,10.322,10.233,10.273,25481,0
UWMC.US,60,20200928,190000,10.292,10.312,10.243,10.312,20956,0
UWMC.US,60,20200928,200000,10.322,10.322,10.253,10.282,304562,0
UWMC.US,60,20200928,210000,10.292,10.322,10.233,10.292,18266,0
UWMC.US,60,20200928,220000,10.233,10.371,10.223,10.332,97467,0
UWMC.US,60,20200929,160000,10.332,10.371,10.292,10.302,20021,0
UWMC.US,60,20200929,170000,10.322,10.357,10.292,10.302,36546,0
UWMC.US,60,20200929,180000,10.292,10.322,10.292,10.302,70293,0
UWMC.US,60,20200929,190000,10.302,10.371,10.302,10.352,18208,0
UWMC.US,60,20200929,200000,10.342,10.371,10.332,10.361,38065,0
UWMC.US,60,20200929,210000,10.357,10.371,10.342,10.342,37554,0
UWMC.US,60,20200929,220000,10.342,10.352,10.312,10.322,324716,0
UWMC.US,60,20200930,160000,10.302,10.312,10.164,10.213,92490,0
UWMC.US,60,20200930,170000,10.223,10.223,10.11,10.184,532615,0
UWMC.US,60,20200930,180000,10.184,10.184,10.154,10.174,33622,0
UWMC.US,60,20200930,190000,10.174,10.203,10.164,10.203,157334,0
UWMC.US,60,20200930,200000,10.203,10.203,10.144,10.149,21753,0
UWMC.US,60,20200930,210000,10.149,10.174,10.144,10.174,70388,0
UWMC.US,60,20200930,220000,10.174,10.203,10.154,10.184,37300,0
UWMC.US,60,20201001,160000,10.322,10.322,10.164,10.189,10296,0
UWMC.US,60,20201001,170000,10.189,10.203,10.049,10.065,132847,0
UWMC.US,60,20201001,180000,10.076,10.076,10.055,10.068,24649,0
UWMC.US,60,20201001,190000,10.065,10.075,10.045,10.065,25273,0
UWMC.US,60,20201001,200000,10.065,10.075,10.05,10.05,95210,0
UWMC.US,60,20201001,210000,10.045,10.065,9.996,10.06,119086,0
UWMC.US,60,20201001,220000,10.06,10.075,10.026,10.045,173519,0
UWMC.US,60,20201002,160000,9.976,10.035,9.937,10.026,48605,0
UWMC.US,60,20201002,170000,10.006,10.065,9.927,10.04,62002,0
UWMC.US,60,20201002,180000,10.034,10.055,9.91,9.942,112839,0
UWMC.US,60,20201002,190000,9.951,9.976,9.937,9.965,9989,0
UWMC.US,60,20201002,200000,9.974,9.996,9.927,9.976,96420,0
UWMC.US,60,20201002,210000,9.976,9.996,9.976,9.976,20411,0
UWMC.US,60,20201002,220000,9.976,10.016,9.976,10.006,71753,0
UWMC.US,60,20201005,160000,9.976,9.976,9.927,9.937,19544,0
UWMC.US,60,20201005,170000,9.937,9.976,9.907,9.935,127895,0
UWMC.US,60,20201005,180000,9.934,10.006,9.927,9.927,163408,0
UWMC.US,60,20201005,190000,9.927,9.976,9.897,9.897,626849,0
UWMC.US,60,20201005,200000,9.897,9.942,9.877,9.897,15045,0
UWMC.US,60,20201005,210000,9.897,9.927,9.877,9.897,715843,0
UWMC.US,60,20201005,220000,9.891,9.937,9.877,9.907,125720,0
UWMC.US,60,20201006,160000,9.897,9.907,9.808,9.848,32236,0
UWMC.US,60,20201006,170000,9.848,9.887,9.828,9.882,188783,0
UWMC.US,60,20201006,180000,9.887,9.947,9.877,9.927,112047,0
UWMC.US,60,20201006,190000,9.929,9.986,9.887,9.887,55276,0
