<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSH.US,60,20200914,160000,15.346,15.589,15.326,15.534,29510,0
VSH.US,60,20200914,170000,15.544,15.564,15.475,15.519,54682,0
VSH.US,60,20200914,180000,15.524,15.639,15.495,15.624,48311,0
VSH.US,60,20200914,190000,15.614,15.664,15.609,15.639,30421,0
VSH.US,60,20200914,200000,15.644,15.669,15.514,15.564,40234,0
VSH.US,60,20200914,210000,15.564,15.624,15.554,15.594,35197,0
VSH.US,60,20200914,220000,15.594,15.684,15.564,15.634,153938,0
VSH.US,60,20200915,160000,15.782,15.812,15.584,15.584,20748,0
VSH.US,60,20200915,170000,15.574,15.802,15.564,15.802,30166,0
VSH.US,60,20200915,180000,15.792,15.792,15.624,15.629,34065,0
VSH.US,60,20200915,190000,15.634,15.694,15.624,15.674,48325,0
VSH.US,60,20200915,200000,15.694,15.714,15.659,15.674,34706,0
VSH.US,60,20200915,210000,15.669,15.752,15.664,15.742,106381,0
VSH.US,60,20200915,220000,15.747,15.747,15.634,15.664,172234,0
VSH.US,60,20200916,160000,15.842,15.931,15.812,15.931,25075,0
VSH.US,60,20200916,170000,15.931,15.99,15.842,15.872,39663,0
VSH.US,60,20200916,180000,15.862,16.01,15.862,15.956,65975,0
VSH.US,60,20200916,190000,15.956,16.02,15.917,15.986,80797,0
VSH.US,60,20200916,200000,15.981,15.99,15.912,15.941,44960,0
VSH.US,60,20200916,210000,15.951,16.03,15.922,15.971,96158,0
VSH.US,60,20200916,220000,15.961,15.976,15.802,15.832,466789,0
VSH.US,60,20200917,160000,15.564,15.684,15.411,15.554,38817,0
VSH.US,60,20200917,170000,15.554,15.852,15.549,15.802,39984,0
VSH.US,60,20200917,180000,15.807,15.882,15.732,15.742,54258,0
VSH.US,60,20200917,190000,15.732,15.762,15.654,15.762,67087,0
VSH.US,60,20200917,200000,15.762,15.792,15.727,15.747,54731,0
VSH.US,60,20200917,210000,15.747,15.787,15.704,15.714,66992,0
VSH.US,60,20200917,220000,15.719,15.723,15.589,15.654,420349,0
VSH.US,60,20200918,160000,15.752,15.971,15.674,15.877,332425,0
VSH.US,60,20200918,170000,15.892,16.07,15.872,15.872,74266,0
VSH.US,60,20200918,180000,15.872,15.922,15.752,15.757,43337,0
VSH.US,60,20200918,190000,15.757,15.757,15.564,15.604,44396,0
VSH.US,60,20200918,200000,15.614,15.634,15.505,15.579,45503,0
VSH.US,60,20200918,210000,15.574,15.649,15.554,15.614,85413,0
VSH.US,60,20200918,220000,15.624,15.674,15.554,15.634,367106,0
VSH.US,60,20200921,160000,15.188,15.247,14.94,14.959,49815,0
VSH.US,60,20200921,170000,14.935,14.989,14.766,14.841,104787,0
VSH.US,60,20200921,180000,14.846,14.984,14.786,14.969,214288,0
VSH.US,60,20200921,190000,14.969,15.009,14.871,14.886,68620,0
VSH.US,60,20200921,200000,14.886,14.92,14.836,14.891,65016,0
VSH.US,60,20200921,210000,14.891,14.896,14.791,14.841,103506,0
VSH.US,60,20200921,220000,14.831,14.93,14.821,14.91,383123,0
VSH.US,60,20200922,160000,14.91,15.128,14.881,14.891,29127,0
VSH.US,60,20200922,170000,14.881,15.019,14.861,14.881,37618,0
VSH.US,60,20200922,180000,14.881,14.94,14.846,14.935,30996,0
VSH.US,60,20200922,190000,14.945,14.979,14.816,14.816,50739,0
VSH.US,60,20200922,200000,14.811,14.954,14.796,14.93,45781,0
VSH.US,60,20200922,210000,14.94,14.989,14.92,14.969,110948,0
VSH.US,60,20200922,220000,14.959,15.039,14.94,15.039,373815,0
VSH.US,60,20200923,160000,14.999,15.277,14.969,15.217,27391,0
VSH.US,60,20200923,170000,15.198,15.207,15.044,15.094,39737,0
VSH.US,60,20200923,180000,15.094,15.128,14.999,15.019,33868,0
VSH.US,60,20200923,190000,14.999,15.079,14.989,15.069,31790,0
VSH.US,60,20200923,200000,15.074,15.148,15.064,15.118,64978,0
VSH.US,60,20200923,210000,15.118,15.123,14.881,14.891,80822,0
VSH.US,60,20200923,220000,14.896,14.905,14.771,14.791,355945,0
VSH.US,60,20200924,160000,14.781,14.841,14.721,14.801,21805,0
VSH.US,60,20200924,170000,14.821,14.92,14.721,14.841,36827,0
VSH.US,60,20200924,180000,14.831,14.949,14.751,14.949,25781,0
VSH.US,60,20200924,190000,14.949,15.039,14.91,15.039,27385,0
VSH.US,60,20200924,200000,15.029,15.188,15.029,15.123,32304,0
VSH.US,60,20200924,210000,15.128,15.138,14.979,14.979,32608,0
VSH.US,60,20200924,220000,14.969,15.029,14.915,14.979,207894,0
VSH.US,60,20200925,160000,14.9,14.9,14.781,14.841,25142,0
VSH.US,60,20200925,170000,14.851,14.949,14.751,14.891,39511,0
VSH.US,60,20200925,180000,14.891,14.91,14.821,14.861,36071,0
VSH.US,60,20200925,190000,14.871,14.949,14.871,14.949,14871,0
VSH.US,60,20200925,200000,14.945,14.989,14.94,14.989,17192,0
VSH.US,60,20200925,210000,14.989,15.029,14.979,15.019,17305,0
VSH.US,60,20200925,220000,15.024,15.118,14.959,14.979,276044,0
VSH.US,60,20200928,160000,15.217,15.485,15.215,15.361,38430,0
VSH.US,60,20200928,170000,15.376,15.534,15.326,15.524,45413,0
VSH.US,60,20200928,180000,15.534,15.704,15.534,15.659,118152,0
VSH.US,60,20200928,190000,15.654,15.719,15.594,15.654,56544,0
VSH.US,60,20200928,200000,15.644,15.674,15.614,15.644,24803,0
VSH.US,60,20200928,210000,15.644,15.694,15.634,15.684,31602,0
VSH.US,60,20200928,220000,15.674,15.762,15.659,15.752,309557,0
VSH.US,60,20200929,160000,15.674,15.842,15.654,15.752,48095,0
VSH.US,60,20200929,170000,15.762,15.862,15.624,15.644,48299,0
VSH.US,60,20200929,180000,15.644,15.664,15.543,15.564,85128,0
VSH.US,60,20200929,190000,15.569,15.674,15.524,15.644,62432,0
VSH.US,60,20200929,200000,15.644,15.654,15.544,15.639,30339,0
VSH.US,60,20200929,210000,15.639,15.719,15.624,15.699,37799,0
VSH.US,60,20200929,220000,15.704,15.737,15.649,15.654,170649,0
