<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
W.US,60,20200914,160000,258,259.85,250.72,258.43,233999,0
W.US,60,20200914,170000,258.64,263.23,256.66,263.23,363472,0
W.US,60,20200914,180000,263.245,268.319,260,261.575,374732,0
W.US,60,20200914,190000,261.52,264.73,258.55,262.55,311994,0
W.US,60,20200914,200000,262.57,263.93,260.243,262.74,278811,0
W.US,60,20200914,210000,262.65,265.96,260.85,265.59,274854,0
W.US,60,20200914,220000,265.52,266.85,263.518,266.7,575941,0
W.US,60,20200915,160000,270.84,275.85,263.76,266.95,296822,0
W.US,60,20200915,170000,267.17,267.17,258.25,263.9,454629,0
W.US,60,20200915,180000,264.1,268.81,262.563,267.125,283553,0
W.US,60,20200915,190000,267.15,270.76,267.15,269.1,201583,0
W.US,60,20200915,200000,269.155,269.59,266.75,268.16,218057,0
W.US,60,20200915,210000,268.22,273.405,267.58,271.54,306062,0
W.US,60,20200915,220000,271.53,272.55,267.81,270.34,448842,0
W.US,60,20200916,160000,267.32,275,266.77,269.86,228516,0
W.US,60,20200916,170000,271.07,274.587,265.39,266.146,336430,0
W.US,60,20200916,180000,265.86,269.55,264.88,266.94,150038,0
W.US,60,20200916,190000,266.99,270.54,266.99,269.43,107007,0
W.US,60,20200916,200000,269.2,270.395,267.14,268.41,91073,0
W.US,60,20200916,210000,268.2,273.58,267.54,271.445,132266,0
W.US,60,20200916,220000,271.61,272.27,265.15,268.96,357637,0
W.US,60,20200917,160000,255.97,262.73,253.5,257.64,257753,0
W.US,60,20200917,170000,257.63,261.57,254.655,260.55,337445,0
W.US,60,20200917,180000,260.55,264.05,258.21,258.23,279743,0
W.US,60,20200917,190000,258.07,261.18,256.29,258.43,128152,0
W.US,60,20200917,200000,258.24,262.95,256.6,261.62,187585,0
W.US,60,20200917,210000,261.86,264,260.88,263,102019,0
W.US,60,20200917,220000,263.03,270.49,261.38,269.34,402082,0
W.US,60,20200918,160000,272.06,281.98,270.86,281.98,260301,0
W.US,60,20200918,170000,282,288.66,279.31,280.26,567900,0
W.US,60,20200918,180000,280.47,288.7,278.586,287.7,345764,0
W.US,60,20200918,190000,287.4,288.57,282.92,283.71,315020,0
W.US,60,20200918,200000,283.861,286.12,278.24,284.41,285850,0
W.US,60,20200918,210000,284.28,289.24,282.46,287.909,264656,0
W.US,60,20200918,220000,288,293.97,287.11,289.98,591257,0
W.US,60,20200921,160000,285.62,297.927,281.2,294.67,190244,0
W.US,60,20200921,170000,293.702,298.379,284,287.455,279172,0
W.US,60,20200921,180000,287.41,293.43,286.01,292.87,236431,0
W.US,60,20200921,190000,292.97,296.39,292.327,295.33,165817,0
W.US,60,20200921,200000,295.49,299.97,294.49,294.6,160625,0
W.US,60,20200921,210000,294.85,295.63,290.52,292.24,147747,0
W.US,60,20200921,220000,292.34,302.8,291.64,302.38,496731,0
W.US,60,20200922,160000,304.5,307.92,293.4,296.4,150073,0
W.US,60,20200922,170000,296.405,298.74,291,295.06,237643,0
W.US,60,20200922,180000,294.33,294.84,291.593,294.167,166377,0
W.US,60,20200922,190000,294.42,299.84,292.79,299.57,152242,0
W.US,60,20200922,200000,299.84,302.46,299.32,301.06,95643,0
W.US,60,20200922,210000,300.85,302,297.3,300.98,131791,0
W.US,60,20200922,220000,301.24,305.17,299.9,304.17,302855,0
W.US,60,20200923,160000,300.33,302.26,292.02,293.66,134472,0
W.US,60,20200923,170000,293.94,294.93,288.3,293.115,220012,0
W.US,60,20200923,180000,293.35,297.07,289.1,289.97,158070,0
W.US,60,20200923,190000,289.66,291.21,285.73,286.33,265601,0
W.US,60,20200923,200000,286.377,289.215,285.14,285.394,94893,0
W.US,60,20200923,210000,285.01,288.21,281.28,285.776,191553,0
W.US,60,20200923,220000,285.755,289.3,281.42,286.72,378545,0
W.US,60,20200924,160000,279.91,288.51,274.81,282.39,193054,0
W.US,60,20200924,170000,282.81,286.71,272.89,279.905,201921,0
W.US,60,20200924,180000,280.105,287.68,277.82,287.51,167203,0
W.US,60,20200924,190000,287.67,288.743,283.59,285.55,113969,0
W.US,60,20200924,200000,285.78,291.85,285.182,288.22,138143,0
W.US,60,20200924,210000,288.08,290.64,285.32,286.185,115899,0
W.US,60,20200924,220000,286.35,288.345,282.44,283.86,313946,0
W.US,60,20200925,160000,287.86,291.91,284.7,291.545,138610,0
W.US,60,20200925,170000,292.01,294.995,288.69,290.065,203514,0
W.US,60,20200925,180000,290.44,293.14,288.966,289.745,108064,0
W.US,60,20200925,190000,289.777,291.241,288.34,290.526,65659,0
W.US,60,20200925,200000,290.71,293.36,290.04,292.91,62777,0
W.US,60,20200925,210000,293.46,295.58,292.46,295.3,86541,0
W.US,60,20200925,220000,294.96,296.45,291.932,293.74,299801,0
W.US,60,20200928,160000,300.96,306.86,298.3,302.055,172444,0
W.US,60,20200928,170000,301.68,304.53,300.98,301.73,144796,0
W.US,60,20200928,180000,301.89,305.53,300.44,301.29,137387,0
W.US,60,20200928,190000,301.29,302.06,298.447,301.68,113360,0
W.US,60,20200928,200000,301.723,302.44,299.23,299.27,69593,0
W.US,60,20200928,210000,299.62,301.61,299,301,71473,0
W.US,60,20200928,220000,300.969,301.62,299.49,300.74,175397,0
W.US,60,20200929,160000,302.39,304.65,296.011,299.83,104645,0
W.US,60,20200929,170000,299.59,302.76,293.34,293.765,242408,0
W.US,60,20200929,180000,293.785,301.82,293.01,299.58,147410,0
W.US,60,20200929,190000,299.308,300.1,297.79,299.1,47792,0
W.US,60,20200929,200000,299.15,299.79,296.5,299.108,57427,0
W.US,60,20200929,210000,299.33,299.55,297.11,297.42,50215,0
W.US,60,20200929,220000,297.49,298.77,294.02,294.66,179902,0
W.US,60,20200930,160000,297.44,304.8,295.645,302.96,134176,0
W.US,60,20200930,170000,303.14,307.65,300.45,302.42,208457,0
W.US,60,20200930,180000,301.94,302.58,296.775,298.58,152190,0
W.US,60,20200930,190000,299.17,299.88,294.95,296.39,141521,0
W.US,60,20200930,200000,296.55,296.55,293.153,295.15,137706,0
W.US,60,20200930,210000,295.64,297.14,289.79,292.21,128987,0
W.US,60,20200930,220000,292.07,293.03,286.61,291.01,509373,0
W.US,60,20201001,160000,297,302.89,295.01,301.4,241867,0
W.US,60,20201001,170000,301.1,316.42,300.41,314.74,642089,0
W.US,60,20201001,180000,315.15,317.5,312.06,313.627,371485,0
W.US,60,20201001,190000,313.5,319.98,312.64,318.31,387607,0
W.US,60,20201001,200000,318.49,324.21,317.5,321.83,360379,0
W.US,60,20201001,210000,321.61,322.979,316.12,316.25,390867,0
