<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YEXT.US,60,20200914,160000,16.24,16.35,16.04,16.16,49576,0
YEXT.US,60,20200914,170000,16.135,16.48,16.1,16.42,74331,0
YEXT.US,60,20200914,180000,16.43,16.52,16.33,16.385,36261,0
YEXT.US,60,20200914,190000,16.38,16.42,16.16,16.17,40779,0
YEXT.US,60,20200914,200000,16.18,16.2301,16.0434,16.2,62891,0
YEXT.US,60,20200914,210000,16.19,16.335,16.17,16.25,104713,0
YEXT.US,60,20200914,220000,16.24,16.36,16.21,16.32,233251,0
YEXT.US,60,20200915,160000,16.47,16.64,16.28,16.31,48019,0
YEXT.US,60,20200915,170000,16.29,16.29,15.76,16.015,113994,0
YEXT.US,60,20200915,180000,16.02,16.12,15.97,16.08,175712,0
YEXT.US,60,20200915,190000,16.0701,16.27,16.07,16.17,72717,0
YEXT.US,60,20200915,200000,16.17,16.175,16.09,16.1,58627,0
YEXT.US,60,20200915,210000,16.11,16.125,16,16.02,76558,0
YEXT.US,60,20200915,220000,16.03,16.03,15.86,15.92,456473,0
YEXT.US,60,20200916,160000,15.87,16.269,15.71,15.73,34506,0
YEXT.US,60,20200916,170000,15.76,15.87,15.44,15.59,135282,0
YEXT.US,60,20200916,180000,15.595,15.61,15.44,15.49,179738,0
YEXT.US,60,20200916,190000,15.51,15.65,15.3753,15.63,141377,0
YEXT.US,60,20200916,200000,15.63,15.81,15.61,15.81,64979,0
YEXT.US,60,20200916,210000,15.82,15.94,15.64,15.67,118879,0
YEXT.US,60,20200916,220000,15.67,15.68,15.34,15.4,240922,0
YEXT.US,60,20200917,160000,15.08,15.31,14.9,15.31,59526,0
YEXT.US,60,20200917,170000,15.2539,15.33,15.095,15.19,61952,0
YEXT.US,60,20200917,180000,15.2,15.26,14.96,14.97,63768,0
YEXT.US,60,20200917,190000,14.96,15.02,14.87,15.02,47783,0
YEXT.US,60,20200917,200000,15.04,15.16,15.02,15.15,31612,0
YEXT.US,60,20200917,210000,15.15,15.22,15.115,15.18,44521,0
YEXT.US,60,20200917,220000,15.18,15.23,15.03,15.22,207212,0
YEXT.US,60,20200918,160000,15.36,15.435,15.175,15.34,191982,0
YEXT.US,60,20200918,170000,15.35,15.55,15.14,15.25,99153,0
YEXT.US,60,20200918,180000,15.26,15.26,14.975,15.09,73878,0
