<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPHI.US,60,20200914,160000,0.375,0.375,0.36,0.369799,35615,0
CPHI.US,60,20200914,170000,0.360101,0.3699,0.3525,0.3525,17571,0
CPHI.US,60,20200914,180000,0.3533,0.368,0.3522,0.3525,34934,0
CPHI.US,60,20200914,190000,0.3625,0.3625,0.35301,0.3625,20067,0
CPHI.US,60,20200914,200000,0.3625,0.3625,0.353,0.3538,4020,0
CPHI.US,60,20200914,210000,0.357828,0.3579,0.3522,0.356,29465,0
CPHI.US,60,20200914,220000,0.353,0.3579,0.35,0.3572,22633,0
CPHI.US,60,20200915,160000,0.3879,0.3879,0.362,0.362,64629,0
CPHI.US,60,20200915,170000,0.368501,0.371932,0.3608,0.3681,49588,0
CPHI.US,60,20200915,180000,0.37,0.37,0.3628,0.3685,33670,0
CPHI.US,60,20200915,190000,0.36401,0.37,0.3611,0.3682,7513,0
CPHI.US,60,20200915,200000,0.3682,0.3682,0.36,0.36,37343,0
CPHI.US,60,20200915,210000,0.3601,0.3645,0.3601,0.36225,2905,0
CPHI.US,60,20200915,220000,0.362299,0.3688,0.3601,0.3631,11053,0
CPHI.US,60,20200916,160000,0.38,0.38,0.365101,0.375,71657,0
CPHI.US,60,20200916,170000,0.3789,0.3826,0.37,0.373,54177,0
CPHI.US,60,20200916,180000,0.3749,0.3795,0.373101,0.3787,20102,0
CPHI.US,60,20200916,190000,0.373,0.38,0.373,0.38,25447,0
CPHI.US,60,20200916,200000,0.38,0.38,0.376,0.379,3174,0
CPHI.US,60,20200916,210000,0.373,0.38,0.373,0.3789,10200,0
CPHI.US,60,20200916,220000,0.37301,0.3784,0.3655,0.371,23778,0
CPHI.US,60,20200917,160000,0.3799,0.3799,0.37,0.3798,5725,0
CPHI.US,60,20200917,170000,0.3711,0.3789,0.3632,0.36501,69131,0
CPHI.US,60,20200917,180000,0.3651,0.3759,0.3651,0.3759,4123,0
CPHI.US,60,20200917,190000,0.3708,0.3758,0.37,0.37,4178,0
CPHI.US,60,20200917,200000,0.3757,0.3757,0.37,0.37,23135,0
CPHI.US,60,20200917,210000,0.37,0.376,0.37,0.3708,63602,0
CPHI.US,60,20200917,220000,0.3718,0.3759,0.3534,0.37485,91337,0
CPHI.US,60,20200918,160000,0.3724,0.38,0.366,0.3661,11376,0
CPHI.US,60,20200918,170000,0.3694,0.37,0.345,0.3602,100383,0
CPHI.US,60,20200918,180000,0.363,0.369,0.3535,0.367,21127,0
CPHI.US,60,20200918,190000,0.3621,0.369,0.357,0.357301,42490,0
CPHI.US,60,20200918,200000,0.3649,0.3649,0.36,0.3647,511,0
CPHI.US,60,20200918,210000,0.36215,0.3643,0.36215,0.3642,400,0
CPHI.US,60,20200918,220000,0.364,0.369,0.36031,0.3665,2070,0
CPHI.US,60,20200921,160000,0.378,0.396,0.375799,0.3794,172870,0
CPHI.US,60,20200921,170000,0.3799,0.38,0.3703,0.3714,54060,0
CPHI.US,60,20200921,180000,0.3707,0.38,0.3707,0.38,14193,0
CPHI.US,60,20200921,190000,0.377001,0.38,0.377001,0.38,21500,0
CPHI.US,60,20200921,200000,0.38,0.38,0.3771,0.3798,28513,0
CPHI.US,60,20200921,210000,0.3799,0.3799,0.378,0.3799,14383,0
CPHI.US,60,20200921,220000,0.3771,0.3796,0.3606,0.3745,48232,0
CPHI.US,60,20200922,160000,0.38,0.38,0.3611,0.366,5001,0
CPHI.US,60,20200922,170000,0.365151,0.3728,0.361,0.3727,30594,0
CPHI.US,60,20200922,180000,0.361,0.3721,0.361,0.372,14704,0
CPHI.US,60,20200922,190000,0.3679,0.37,0.362,0.3669,7000,0
CPHI.US,60,20200922,200000,0.3699,0.3725,0.366,0.366,11355,0
CPHI.US,60,20200922,210000,0.3724,0.3724,0.3661,0.37,4856,0
CPHI.US,60,20200922,220000,0.3694,0.3726,0.3694,0.37135,35836,0
CPHI.US,60,20200923,160000,0.3713,0.38,0.366,0.37,4688,0
CPHI.US,60,20200923,170000,0.3692,0.37011,0.3662,0.37011,15794,0
CPHI.US,60,20200923,180000,0.370201,0.3798,0.3701,0.3723,4338,0
CPHI.US,60,20200923,190000,0.3723,0.38,0.3715,0.3759,16890,0
CPHI.US,60,20200923,200000,0.3778,0.3779,0.3659,0.3755,11403,0
CPHI.US,60,20200923,210000,0.3735,0.3779,0.366,0.37005,12396,0
CPHI.US,60,20200923,220000,0.366,0.3745,0.3654,0.3698,3700,0
CPHI.US,60,20200924,160000,0.3732,0.3732,0.352,0.352,16807,0
CPHI.US,60,20200924,170000,0.3538,0.368,0.352,0.355849,10106,0
CPHI.US,60,20200924,180000,0.3521,0.3598,0.352,0.3558,11293,0
CPHI.US,60,20200924,190000,0.3541,0.363799,0.352,0.3609,11677,0
CPHI.US,60,20200924,200000,0.3609,0.367999,0.3522,0.367999,33210,0
CPHI.US,60,20200924,210000,0.3672,0.368,0.3582,0.3594,11320,0
CPHI.US,60,20200924,220000,0.3627,0.367899,0.358,0.3658,46940,0
CPHI.US,60,20200925,160000,0.3629,0.365,0.3501,0.365,8085,0
CPHI.US,60,20200925,170000,0.3638,0.3806,0.3593,0.3793,62642,0
CPHI.US,60,20200925,180000,0.3739,0.3793,0.3738,0.3749,27504,0
CPHI.US,60,20200925,190000,0.372283,0.3739,0.36,0.3602,18944,0
