<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVR.US,60,20200914,220000,19.849,20.491,19.849,20.491,1556,0
CVR.US,60,20200915,160000,20.076,20.076,20.076,20.076,101,0
CVR.US,60,20200915,170000,20.076,20.076,20.076,20.076,101,0
CVR.US,60,20200921,160000,21.083,21.083,20.995,20.995,327,0
CVR.US,60,20200921,180000,19.978,19.978,19.879,19.978,812,0
CVR.US,60,20200922,210000,19.78,19.78,19.78,19.78,101,0
CVR.US,60,20200922,220000,19.849,19.849,19.849,19.849,101,0
CVR.US,60,20200924,170000,20.343,20.343,20.343,20.343,303,0
CVR.US,60,20200925,220000,21.666,21.666,21.666,21.666,506,0
CVR.US,60,20200928,160000,21.725,21.725,21.725,21.725,101,0
CVR.US,60,20200928,220000,20.928,20.928,20.928,20.928,405,0
CVR.US,60,20200929,200000,20.284,20.284,20.284,20.284,203,0
CVR.US,60,20200930,170000,21.283,21.283,20.146,20.501,861,0
CVR.US,60,20200930,220000,21.33,21.33,21.33,21.33,127,0
CVR.US,60,20201005,200000,20.294,20.294,20.264,20.264,303,0
CVR.US,60,20201005,210000,20.738,20.738,20.738,20.738,101,0
CVR.US,60,20201005,220000,20.738,20.738,20.738,20.738,209,0
CVR.US,60,20201006,170000,20.738,20.738,20.738,20.738,101,0
CVR.US,60,20201006,180000,21.323,21.323,20.738,20.738,380,0
CVR.US,60,20201007,160000,20.936,20.976,20.936,20.976,686,0
CVR.US,60,20201007,170000,21.168,21.168,21.168,21.168,101,0
CVR.US,60,20201007,180000,22.17,22.17,22.17,22.17,101,0
CVR.US,60,20201007,190000,20.788,20.788,20.738,20.738,405,0
CVR.US,60,20201007,200000,20.738,20.738,20.738,20.738,101,0
CVR.US,60,20201007,210000,20.738,20.738,20.738,20.738,506,0
CVR.US,60,20201009,220000,20.748,20.748,20.027,20.441,607,0
CVR.US,60,20201012,190000,21.21,21.21,20.343,20.343,1418,0
CVR.US,60,20201012,210000,20.343,20.343,20.333,20.333,303,0
CVR.US,60,20201012,220000,20.333,20.333,20.244,20.244,474,0
CVR.US,60,20201013,200000,21.306,21.306,21.306,21.306,425,0
CVR.US,60,20201013,220000,20.254,20.501,19.553,20.501,2177,0
CVR.US,60,20201014,160000,20.481,20.481,20.481,20.481,101,0
CVR.US,60,20201016,170000,21.211,21.211,21.211,21.211,303,0
CVR.US,60,20201019,180000,21.098,21.098,21.082,21.082,330,0
CVR.US,60,20201020,190000,21.528,21.528,20.639,20.797,2025,0
CVR.US,60,20201023,220000,20.368,20.738,20.368,20.738,749,0
CVR.US,60,20201029,210000,20.401,20.718,20.401,20.718,431,0
CVR.US,60,20201102,170000,20.738,20.738,20.738,20.738,101,0
CVR.US,60,20201102,200000,20.738,20.738,20.708,20.738,1924,0
CVR.US,60,20201103,170000,20.511,20.511,20.511,20.511,101,0
CVR.US,60,20201103,180000,21,21.675,20.936,21.675,627,0
CVR.US,60,20201103,220000,21.205,21.205,21.205,21.205,127,0
CVR.US,60,20201104,190000,21.133,21.133,21.133,21.133,303,0
CVR.US,60,20201104,200000,20.758,21.183,20.738,21.183,709,0
CVR.US,60,20201105,180000,20.639,20.639,20.639,20.639,101,0
CVR.US,60,20201105,190000,20.936,20.936,20.936,20.936,127,0
CVR.US,60,20201105,200000,21.054,21.054,20.936,20.936,203,0
CVR.US,60,20201105,220000,21.164,21.231,21.123,21.158,505,0
CVR.US,60,20201109,170000,20.916,20.916,20.916,20.916,101,0
CVR.US,60,20201109,210000,20.275,20.58,20.071,20.58,911,0
CVR.US,60,20201110,160000,19.77,19.77,19.77,19.77,101,0
CVR.US,60,20201110,180000,21.149,21.149,21.149,21.149,101,0
CVR.US,60,20201110,190000,20.481,20.481,20.481,20.481,303,0
CVR.US,60,20201110,210000,20.188,20.188,20.188,20.188,115,0
CVR.US,60,20201110,220000,20.126,20.146,20.126,20.146,957,0
CVR.US,60,20201111,190000,20.244,20.244,20.244,20.244,101,0
CVR.US,60,20201112,210000,20.937,20.937,20.937,20.937,132,0
CVR.US,60,20201112,220000,21.202,21.202,21.202,21.202,101,0
CVR.US,60,20201113,210000,20.955,20.955,20.702,20.702,703,0
CVR.US,60,20201116,160000,21.439,21.439,21.439,21.439,102,0
CVR.US,60,20201117,200000,21.236,21.236,21.236,21.236,203,0
CVR.US,60,20201119,220000,21.725,21.725,21.725,21.725,101,0
CVR.US,60,20201120,210000,21.411,21.411,21.411,21.411,127,0
CVR.US,60,20201123,180000,21.149,21.149,21.143,21.143,202,0
CVR.US,60,20201123,200000,20.906,20.906,20.906,20.906,239,0
CVR.US,60,20201124,180000,21.725,21.725,21.725,21.725,504,0
CVR.US,60,20201124,190000,21.241,21.241,21.241,21.241,101,0
CVR.US,60,20201124,200000,21.064,21.143,21.064,21.143,228,0
CVR.US,60,20201124,220000,21.143,21.143,21.143,21.143,405,0
CVR.US,60,20201125,160000,21.434,21.434,21.36,21.36,203,0
CVR.US,60,20201125,170000,21.36,21.424,21.088,21.142,1156,0
CVR.US,60,20201125,190000,21.162,21.162,21.087,21.162,2025,0
CVR.US,60,20201125,200000,20.916,21.042,20.758,21.042,802,0
CVR.US,60,20201125,210000,20.451,20.451,20.451,20.451,405,0
CVR.US,60,20201127,170000,21.173,21.173,21.123,21.173,506,0
CVR.US,60,20201127,190000,21.014,21.059,20.609,20.978,2483,0
CVR.US,60,20201201,180000,20.738,20.738,20.738,20.738,101,0
CVR.US,60,20201202,210000,21.019,21.019,21.019,21.019,101,0
