<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERH.US,60,20200914,160000,11.576,11.643,11.576,11.643,631,0
ERH.US,60,20200914,170000,11.671,11.77,11.653,11.727,7495,0
ERH.US,60,20200914,180000,11.731,11.731,11.711,11.723,2986,0
ERH.US,60,20200914,190000,11.711,11.721,11.711,11.721,287,0
ERH.US,60,20200914,200000,11.711,11.724,11.711,11.711,2180,0
ERH.US,60,20200914,210000,11.724,11.726,11.711,11.711,1909,0
ERH.US,60,20200914,220000,11.721,11.721,11.721,11.721,106,0
ERH.US,60,20200915,160000,11.77,11.825,11.77,11.816,2636,0
ERH.US,60,20200915,170000,11.835,11.876,11.835,11.876,2294,0
ERH.US,60,20200915,180000,11.881,11.903,11.865,11.865,2325,0
ERH.US,60,20200915,190000,11.855,11.981,11.855,11.932,14417,0
ERH.US,60,20200915,200000,11.914,11.934,11.845,11.845,5684,0
ERH.US,60,20200915,210000,11.855,11.865,11.855,11.865,598,0
ERH.US,60,20200915,220000,11.845,11.845,11.798,11.798,2464,0
ERH.US,60,20200916,160000,11.789,11.885,11.78,11.78,2276,0
ERH.US,60,20200916,170000,11.775,11.825,11.775,11.817,2486,0
ERH.US,60,20200916,180000,11.82,11.855,11.799,11.855,2172,0
ERH.US,60,20200916,190000,11.835,11.895,11.835,11.855,3277,0
ERH.US,60,20200916,200000,11.855,11.914,11.845,11.854,4490,0
ERH.US,60,20200916,210000,11.86,11.86,11.86,11.86,220,0
ERH.US,60,20200916,220000,11.855,11.855,11.835,11.835,1467,0
ERH.US,60,20200917,160000,11.75,11.798,11.75,11.798,1201,0
ERH.US,60,20200917,170000,11.77,11.807,11.77,11.798,1330,0
ERH.US,60,20200917,180000,11.798,11.816,11.789,11.807,1242,0
ERH.US,60,20200917,190000,11.781,11.81,11.77,11.798,4135,0
ERH.US,60,20200917,200000,11.789,11.835,11.789,11.798,1932,0
ERH.US,60,20200918,170000,11.803,11.803,11.803,11.803,387,0
ERH.US,60,20200918,180000,11.75,11.78,11.733,11.78,2171,0
ERH.US,60,20200918,190000,11.786,11.798,11.76,11.76,3109,0
ERH.US,60,20200918,200000,11.76,11.765,11.671,11.705,5615,0
ERH.US,60,20200918,210000,11.681,11.681,11.615,11.615,2124,0
ERH.US,60,20200918,220000,11.633,11.661,11.633,11.661,780,0
ERH.US,60,20200921,160000,11.606,11.606,11.571,11.571,3350,0
ERH.US,60,20200921,170000,11.566,11.566,11.507,11.551,5475,0
ERH.US,60,20200921,180000,11.566,11.577,11.507,11.541,4753,0
ERH.US,60,20200921,190000,11.542,11.542,11.497,11.497,899,0
ERH.US,60,20200921,200000,11.497,11.502,11.487,11.487,3234,0
ERH.US,60,20200921,210000,11.487,11.487,11.431,11.431,4356,0
ERH.US,60,20200921,220000,11.477,11.517,11.477,11.517,2281,0
ERH.US,60,20200922,160000,11.566,11.566,11.566,11.566,243,0
ERH.US,60,20200922,170000,11.624,11.635,11.615,11.623,2241,0
ERH.US,60,20200922,180000,11.615,11.615,11.586,11.586,1156,0
ERH.US,60,20200922,190000,11.584,11.606,11.558,11.558,5721,0
ERH.US,60,20200922,200000,11.576,11.606,11.576,11.596,1040,0
ERH.US,60,20200922,210000,11.606,11.606,11.585,11.585,520,0
ERH.US,60,20200922,220000,11.576,11.596,11.547,11.547,3431,0
ERH.US,60,20200923,160000,11.566,11.566,11.566,11.566,146,0
ERH.US,60,20200923,180000,11.554,11.554,11.467,11.518,2334,0
ERH.US,60,20200923,190000,11.513,11.513,11.487,11.497,1243,0
ERH.US,60,20200923,200000,11.497,11.497,11.412,11.434,3916,0
ERH.US,60,20200923,210000,11.45,11.45,11.373,11.39,3676,0
ERH.US,60,20200923,220000,11.363,11.363,11.313,11.328,2389,0
ERH.US,60,20200924,160000,11.303,11.303,11.255,11.255,1269,0
ERH.US,60,20200924,170000,11.284,11.293,11.283,11.293,857,0
ERH.US,60,20200924,180000,11.273,11.293,11.257,11.293,2076,0
ERH.US,60,20200924,190000,11.293,11.313,11.239,11.313,5741,0
ERH.US,60,20200924,200000,11.323,11.353,11.323,11.338,3006,0
ERH.US,60,20200924,210000,11.313,11.313,11.308,11.308,412,0
ERH.US,60,20200924,220000,11.285,11.285,11.285,11.285,428,0
ERH.US,60,20200925,160000,11.303,11.303,11.257,11.257,206,0
ERH.US,60,20200925,170000,11.28,11.303,11.28,11.303,723,0
ERH.US,60,20200925,180000,11.304,11.353,11.303,11.35,4923,0
ERH.US,60,20200925,190000,11.363,11.363,11.351,11.351,578,0
