<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLO.US,60,20200914,160000,8.7426,8.8271,8.7145,8.7801,26775,0
GLO.US,60,20200914,170000,8.7989,8.8271,8.7849,8.8178,12210,0
GLO.US,60,20200914,180000,8.8083,8.8834,8.8037,8.8554,34361,0
GLO.US,60,20200914,190000,8.846,8.846,8.8178,8.8178,8038,0
GLO.US,60,20200914,200000,8.7989,8.8083,8.7801,8.8083,31172,0
GLO.US,60,20200914,210000,8.8197,8.8271,8.8037,8.8083,19874,0
GLO.US,60,20200914,220000,8.807,8.8271,8.7801,8.8271,24379,0
GLO.US,60,20200915,160000,8.9023,8.9213,8.8929,8.9152,14296,0
GLO.US,60,20200915,170000,8.9023,8.9213,8.9023,8.9212,15530,0
GLO.US,60,20200915,180000,8.9303,8.9493,8.9119,8.926,16025,0
GLO.US,60,20200915,190000,8.9306,8.9493,8.9213,8.9493,3328,0
GLO.US,60,20200915,200000,8.9513,8.9963,8.9508,8.9794,14851,0
GLO.US,60,20200915,210000,8.9962,8.9963,8.979,8.987,7410,0
GLO.US,60,20200915,220000,8.9775,8.9775,8.9353,8.9681,29466,0
GLO.US,60,20200916,160000,8.94,8.9729,8.94,8.9688,12498,0
GLO.US,60,20200916,170000,8.9548,8.9681,8.9493,8.9586,34764,0
GLO.US,60,20200916,180000,8.9587,8.968,8.9493,8.9515,5243,0
GLO.US,60,20200916,190000,8.968,8.9681,8.9587,8.9679,5337,0
GLO.US,60,20200916,200000,8.9636,8.9681,8.9587,8.9636,16037,0
GLO.US,60,20200916,210000,8.9681,8.9775,8.9587,8.9587,57402,0
GLO.US,60,20200916,220000,8.9587,8.9681,8.9306,8.9306,29951,0
GLO.US,60,20200917,160000,8.9018,8.9114,8.8355,8.9114,26307,0
GLO.US,60,20200917,170000,8.9018,8.9209,8.8355,8.8937,28859,0
GLO.US,60,20200917,180000,8.8923,8.906,8.8544,8.8592,11564,0
GLO.US,60,20200917,190000,8.8449,8.8544,8.8164,8.84,12463,0
GLO.US,60,20200917,200000,8.8384,8.8732,8.8384,8.8727,10557,0
GLO.US,60,20200917,210000,8.8709,8.8923,8.8544,8.8827,24399,0
GLO.US,60,20200917,220000,8.8732,8.8732,8.8449,8.8449,13067,0
GLO.US,60,20200918,160000,8.8828,8.8828,8.8164,8.8259,19529,0
GLO.US,60,20200918,170000,8.8259,8.8638,8.8259,8.8259,21166,0
GLO.US,60,20200918,180000,8.8259,8.8449,8.807,8.8164,17446,0
GLO.US,60,20200918,190000,8.807,8.8164,8.7974,8.7974,7518,0
GLO.US,60,20200918,200000,8.7879,8.7879,8.7404,8.7783,14020,0
GLO.US,60,20200918,210000,8.7783,8.7974,8.7689,8.7689,26631,0
GLO.US,60,20200918,220000,8.7689,8.8355,8.7689,8.8164,34107,0
GLO.US,60,20200921,160000,8.6646,8.6835,8.6265,8.6693,28879,0
GLO.US,60,20200921,170000,8.6551,8.6551,8.5317,8.5412,70374,0
GLO.US,60,20200921,180000,8.578,8.5982,8.5507,8.5887,27889,0
GLO.US,60,20200921,190000,8.5839,8.6265,8.5792,8.6205,10869,0
GLO.US,60,20200921,200000,8.6171,8.662,8.6076,8.6349,15652,0
GLO.US,60,20200921,210000,8.6123,8.6551,8.6076,8.6171,19778,0
GLO.US,60,20200921,220000,8.6317,8.674,8.6266,8.6551,28318,0
GLO.US,60,20200922,160000,8.5887,8.7296,8.5887,8.6455,19990,0
GLO.US,60,20200922,170000,8.6361,8.6455,8.6076,8.6105,29329,0
GLO.US,60,20200922,180000,8.5982,8.6171,8.5887,8.6076,15312,0
GLO.US,60,20200922,190000,8.6171,8.6551,8.6076,8.6266,16151,0
GLO.US,60,20200922,200000,8.6136,8.6266,8.6084,8.6198,8872,0
GLO.US,60,20200922,210000,8.6266,8.693,8.6266,8.6646,18978,0
GLO.US,60,20200922,220000,8.6646,8.75,8.6646,8.75,40258,0
GLO.US,60,20200923,160000,8.807,8.807,8.7404,8.75,12484,0
GLO.US,60,20200923,170000,8.7595,8.7595,8.7121,8.7395,11858,0
GLO.US,60,20200923,180000,8.7361,8.7404,8.7215,8.7215,16042,0
GLO.US,60,20200923,190000,8.7167,8.7215,8.696,8.6967,11898,0
GLO.US,60,20200923,200000,8.6945,8.7026,8.693,8.7026,3798,0
GLO.US,60,20200923,210000,8.7,8.7026,8.6171,8.6551,46248,0
GLO.US,60,20200923,220000,8.6361,8.6361,8.5507,8.5601,34183,0
GLO.US,60,20200924,160000,8.5317,8.5507,8.4652,8.5127,18410,0
GLO.US,60,20200924,170000,8.5127,8.5982,8.5032,8.5412,30356,0
GLO.US,60,20200924,180000,8.5393,8.5583,8.4937,8.5583,16990,0
GLO.US,60,20200924,190000,8.5694,8.5887,8.5412,8.546,17343,0
GLO.US,60,20200924,200000,8.5883,8.636,8.5744,8.6076,3737,0
GLO.US,60,20200924,210000,8.6028,8.6076,8.5317,8.5317,9164,0
GLO.US,60,20200924,220000,8.5222,8.5507,8.5222,8.5507,6589,0
GLO.US,60,20200925,160000,8.5317,8.6266,8.527,8.527,15479,0
GLO.US,60,20200925,170000,8.5301,8.5301,8.4843,8.5032,28580,0
GLO.US,60,20200925,180000,8.5032,8.5222,8.4937,8.5032,8937,0
GLO.US,60,20200925,190000,8.4937,8.5032,8.4843,8.5032,36443,0
GLO.US,60,20200925,200000,8.4937,8.5127,8.4843,8.4889,16486,0
GLO.US,60,20200925,210000,8.4937,8.5506,8.4843,8.5032,81621,0
GLO.US,60,20200925,220000,8.5127,8.5507,8.5032,8.5412,22144,0
GLO.US,60,20200928,160000,8.6361,8.7026,8.5982,8.6455,11527,0
GLO.US,60,20200928,170000,8.6361,8.7026,8.6361,8.6646,31934,0
GLO.US,60,20200928,180000,8.6629,8.731,8.6629,8.6835,19157,0
GLO.US,60,20200928,190000,8.6973,8.7068,8.6835,8.7068,9425,0
GLO.US,60,20200928,200000,8.7121,8.7357,8.7016,8.7215,13946,0
GLO.US,60,20200928,210000,8.7404,8.75,8.7121,8.7452,11553,0
GLO.US,60,20200928,220000,8.7404,8.7595,8.7215,8.7215,24126,0
GLO.US,60,20200929,160000,8.8449,8.8449,8.75,8.75,29520,0
GLO.US,60,20200929,170000,8.731,8.7593,8.6835,8.6835,12333,0
GLO.US,60,20200929,180000,8.674,8.7404,8.674,8.6835,9397,0
GLO.US,60,20200929,190000,8.674,8.6834,8.6551,8.6646,7428,0
GLO.US,60,20200929,200000,8.6716,8.693,8.6601,8.6883,11184,0
GLO.US,60,20200929,210000,8.7026,8.7215,8.7007,8.7075,3669,0
GLO.US,60,20200929,220000,8.7121,8.7309,8.6835,8.7215,17883,0
GLO.US,60,20200930,160000,8.7783,8.7783,8.7301,8.7595,18080,0
GLO.US,60,20200930,170000,8.7595,8.7895,8.75,8.7689,15285,0
GLO.US,60,20200930,180000,8.7783,8.8164,8.7595,8.8164,8829,0
GLO.US,60,20200930,190000,8.807,8.8355,8.7927,8.8328,37869,0
GLO.US,60,20200930,200000,8.8355,8.8638,8.8259,8.8479,21079,0
GLO.US,60,20200930,210000,8.8515,8.8837,8.8164,8.8544,37300,0
GLO.US,60,20200930,220000,8.8544,8.8687,8.807,8.8638,43098,0
GLO.US,60,20201001,160000,8.9209,8.9398,8.8923,8.8923,18410,0
GLO.US,60,20201001,170000,8.9114,8.9114,8.8355,8.8544,72107,0
GLO.US,60,20201001,180000,8.8449,8.9114,8.8449,8.9114,10331,0
GLO.US,60,20201001,190000,8.9114,8.9209,8.8971,8.9209,4392,0
GLO.US,60,20201001,200000,8.9209,8.9398,8.9019,8.9398,11340,0
GLO.US,60,20201001,210000,8.9398,8.9492,8.9018,8.9492,9992,0
GLO.US,60,20201001,220000,8.9492,8.9873,8.9114,8.9398,38311,0
GLO.US,60,20201002,160000,8.8259,8.9209,8.8259,8.8923,16543,0
GLO.US,60,20201002,170000,8.8923,8.9114,8.8449,8.8592,16699,0
GLO.US,60,20201002,180000,8.8592,8.9018,8.8449,8.8449,13655,0
GLO.US,60,20201002,190000,8.8449,8.9114,8.8355,8.8876,23344,0
GLO.US,60,20201002,200000,8.9018,8.9114,8.8828,8.9085,30858,0
GLO.US,60,20201002,210000,8.9209,8.9209,8.9018,8.9065,22805,0
GLO.US,60,20201002,220000,8.9109,8.9492,8.9018,8.9492,33164,0
GLO.US,60,20201005,160000,8.9682,9.0252,8.9587,8.9608,12566,0
GLO.US,60,20201005,170000,8.9777,9.0062,8.9771,8.9967,7716,0
GLO.US,60,20201005,180000,9.0158,9.0252,8.9967,9.0062,4205,0
GLO.US,60,20201005,190000,8.9934,9.0347,8.9934,9.0158,8409,0
GLO.US,60,20201005,200000,9.0347,9.0632,9.0158,9.0441,12976,0
GLO.US,60,20201005,210000,9.0158,9.0401,8.9968,9.0252,15038,0
GLO.US,60,20201005,220000,9.03,9.0821,9.0158,9.0727,92133,0
GLO.US,60,20201006,160000,9.0821,9.1015,9.0808,9.084,11315,0
GLO.US,60,20201006,170000,9.0916,9.135,9.0727,9.135,15913,0
GLO.US,60,20201006,180000,9.1388,9.2026,9.1388,9.1388,48043,0
GLO.US,60,20201006,190000,9.1245,9.1388,9.1245,9.1388,4136,0
GLO.US,60,20201006,200000,9.1388,9.1628,9.1196,9.1196,10927,0
GLO.US,60,20201006,210000,9.1321,9.136,9.1196,9.1196,3503,0
GLO.US,60,20201006,220000,9.1245,9.1245,9.0158,9.0158,42783,0
GLO.US,60,20201007,160000,9.1484,9.158,9.1291,9.1291,19614,0
GLO.US,60,20201007,170000,9.158,9.158,9.1196,9.1291,20968,0
GLO.US,60,20201007,180000,9.1475,9.1484,9.1388,9.1484,6031,0
GLO.US,60,20201007,190000,9.1388,9.1676,9.1388,9.1475,6601,0
GLO.US,60,20201007,200000,9.1676,9.1676,9.158,9.1608,8936,0
GLO.US,60,20201007,210000,9.1531,9.1871,9.1484,9.1771,28932,0
GLO.US,60,20201007,220000,9.158,9.2054,9.158,9.2054,16045,0
GLO.US,60,20201008,160000,9.2528,9.2528,9.2151,9.2238,21249,0
GLO.US,60,20201008,170000,9.2248,9.2422,9.2238,9.2422,2899,0
GLO.US,60,20201008,180000,9.2345,9.2528,9.2238,9.2238,18402,0
