<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAVB.US,60,20200914,160000,2.87,2.89,2.81,2.82,45265,0
NAVB.US,60,20200914,170000,2.82,2.9,2.81,2.88,40301,0
NAVB.US,60,20200914,180000,2.88,2.91,2.86,2.89,13487,0
NAVB.US,60,20200914,190000,2.9,2.93,2.89,2.93,18372,0
NAVB.US,60,20200914,200000,2.93,2.93,2.89,2.92,5741,0
NAVB.US,60,20200914,210000,2.92,2.95,2.915,2.92,10142,0
NAVB.US,60,20200914,220000,2.91,2.97,2.91,2.96,20452,0
NAVB.US,60,20200915,160000,2.94,2.96,2.91,2.91,6918,0
NAVB.US,60,20200915,170000,2.91,2.93,2.9,2.9,2350,0
NAVB.US,60,20200915,180000,2.9022,2.926,2.9,2.91,14757,0
NAVB.US,60,20200915,190000,2.91,2.9478,2.91,2.94,14444,0
NAVB.US,60,20200915,200000,2.93,2.965,2.93,2.95,13674,0
NAVB.US,60,20200915,210000,2.95,2.958,2.87,2.95,55360,0
NAVB.US,60,20200915,220000,2.9243,2.99,2.9243,2.95,40638,0
NAVB.US,60,20200916,160000,2.9,2.98,2.9,2.9268,3798,0
NAVB.US,60,20200916,170000,2.9541,2.97,2.94,2.97,8592,0
NAVB.US,60,20200916,180000,2.96,3.03,2.96,3.01,19937,0
NAVB.US,60,20200916,190000,3.025,3.03,3.01,3.024,16843,0
NAVB.US,60,20200916,200000,3.0258,3.05,3.01,3.05,24968,0
NAVB.US,60,20200916,210000,3.01,3.054,3.01,3.03,10819,0
NAVB.US,60,20200916,220000,3.03,3.03,2.91,2.91,24843,0
NAVB.US,60,20200917,160000,2.97,2.97,2.91,2.96,10662,0
NAVB.US,60,20200917,170000,2.94,2.96,2.93,2.955,10359,0
NAVB.US,60,20200917,180000,2.955,2.96,2.93,2.93,7531,0
NAVB.US,60,20200917,190000,2.9,2.9,2.87,2.87,11742,0
NAVB.US,60,20200917,200000,2.86,2.9,2.85,2.9,13992,0
NAVB.US,60,20200917,210000,2.9,2.9098,2.87,2.896,20529,0
NAVB.US,60,20200917,220000,2.9,2.9,2.79,2.79,36889,0
NAVB.US,60,20200918,160000,2.79,2.94,2.79,2.88,35211,0
NAVB.US,60,20200918,170000,2.88,2.91,2.81,2.85,34057,0
NAVB.US,60,20200918,180000,2.84,2.89,2.84,2.87,8675,0
NAVB.US,60,20200918,190000,2.91,2.91,2.87,2.89,1900,0
NAVB.US,60,20200918,200000,2.89,2.89,2.82,2.86,6193,0
NAVB.US,60,20200918,210000,2.869,2.89,2.8362,2.8561,4183,0
NAVB.US,60,20200918,220000,2.87,2.94,2.86,2.94,66880,0
NAVB.US,60,20200921,160000,2.99,2.99,2.871,2.91,6984,0
NAVB.US,60,20200921,170000,2.92,2.92,2.83,2.84,7460,0
NAVB.US,60,20200921,180000,2.8396,2.85,2.805,2.82,13593,0
NAVB.US,60,20200921,190000,2.8232,2.8458,2.82,2.82,1075,0
NAVB.US,60,20200921,200000,2.848,2.85,2.81,2.82,6303,0
NAVB.US,60,20200921,210000,2.8199,2.84,2.8,2.8298,11437,0
NAVB.US,60,20200921,220000,2.82,2.85,2.79,2.8,42401,0
NAVB.US,60,20200922,160000,2.8,2.9,2.8,2.84,20424,0
NAVB.US,60,20200922,170000,2.81,2.83,2.7497,2.76,19047,0
NAVB.US,60,20200922,180000,2.76,2.83,2.7597,2.83,8267,0
NAVB.US,60,20200922,190000,2.7901,2.83,2.78,2.78,10059,0
NAVB.US,60,20200922,200000,2.78,2.8,2.77,2.8,4709,0
NAVB.US,60,20200922,210000,2.8072,2.92,2.8072,2.8834,32212,0
NAVB.US,60,20200922,220000,2.88,2.89,2.81,2.81,20372,0
NAVB.US,60,20200923,160000,2.91,2.91,2.865,2.865,2431,0
NAVB.US,60,20200923,170000,2.82,2.9,2.82,2.82,10646,0
NAVB.US,60,20200923,180000,2.85,2.9,2.8322,2.8322,13551,0
NAVB.US,60,20200923,190000,2.83,2.86,2.83,2.86,4331,0
NAVB.US,60,20200923,200000,2.88,2.88,2.82,2.83,8557,0
NAVB.US,60,20200923,210000,2.8341,2.8341,2.72,2.73,31885,0
NAVB.US,60,20200923,220000,2.73,2.7699,2.7,2.75,22666,0
NAVB.US,60,20200924,160000,2.9,2.9,2.7136,2.81,19361,0
NAVB.US,60,20200924,170000,2.7401,2.79,2.7285,2.7285,9600,0
NAVB.US,60,20200924,180000,2.72,2.75,2.72,2.74,4400,0
NAVB.US,60,20200924,190000,2.73,2.73,2.67,2.7,25808,0
NAVB.US,60,20200924,200000,2.71,2.74,2.71,2.72,3792,0
NAVB.US,60,20200924,210000,2.7,2.7,2.67,2.6701,29129,0
NAVB.US,60,20200924,220000,2.68,2.76,2.665,2.76,22527,0
NAVB.US,60,20200925,160000,2.77,2.7933,2.74,2.7588,8750,0
NAVB.US,60,20200925,170000,2.75,2.815,2.75,2.78,4140,0
NAVB.US,60,20200925,180000,2.79,2.79,2.71,2.75,3759,0
NAVB.US,60,20200925,190000,2.7358,2.7399,2.7,2.7083,5898,0
NAVB.US,60,20200925,200000,2.69,2.69,2.65,2.672,4720,0
NAVB.US,60,20200925,210000,2.665,2.6654,2.665,2.6654,300,0
NAVB.US,60,20200925,220000,2.68,2.77,2.68,2.73,5250,0
NAVB.US,60,20200928,160000,2.81,2.81,2.77,2.78,12587,0
NAVB.US,60,20200928,170000,2.76,2.77,2.76,2.77,2492,0
NAVB.US,60,20200928,180000,2.76,2.82,2.76,2.785,9861,0
NAVB.US,60,20200928,190000,2.79,2.8307,2.79,2.8307,8703,0
NAVB.US,60,20200928,200000,2.8399,2.86,2.82,2.84,21552,0
NAVB.US,60,20200928,210000,2.8399,2.9,2.82,2.8802,22514,0
NAVB.US,60,20200928,220000,2.8802,2.92,2.8698,2.91,27056,0
NAVB.US,60,20200929,160000,2.86,2.938,2.86,2.91,21457,0
NAVB.US,60,20200929,170000,2.8824,2.8902,2.86,2.8665,3249,0
NAVB.US,60,20200929,180000,2.865,2.87,2.81,2.825,12966,0
NAVB.US,60,20200929,190000,2.8294,2.84,2.81,2.8245,1920,0
NAVB.US,60,20200929,200000,2.83,2.83,2.825,2.83,1030,0
NAVB.US,60,20200929,210000,2.8395,2.9,2.8395,2.8735,11547,0
NAVB.US,60,20200929,220000,2.87,2.9,2.86,2.86,7821,0
NAVB.US,60,20200930,160000,2.41,2.7999,2.41,2.7399,60192,0
NAVB.US,60,20200930,170000,2.7201,2.7729,2.72,2.74,6371,0
NAVB.US,60,20200930,180000,2.767,2.767,2.73,2.73,500,0
NAVB.US,60,20200930,190000,2.73,2.7599,2.73,2.74,2050,0
NAVB.US,60,20200930,200000,2.74,2.76,2.74,2.7524,4314,0
NAVB.US,60,20200930,210000,2.74,2.74,2.68,2.69,15464,0
NAVB.US,60,20200930,220000,2.69,2.74,2.69,2.7,11292,0
NAVB.US,60,20201001,160000,2.7,2.75,2.7,2.72,17850,0
NAVB.US,60,20201001,170000,2.699,2.8,2.65,2.79,30775,0
NAVB.US,60,20201001,180000,2.79,2.8,2.71,2.72,15938,0
NAVB.US,60,20201001,190000,2.6899,2.6899,2.6301,2.6495,15538,0
NAVB.US,60,20201001,200000,2.63,2.67,2.63,2.67,5600,0
NAVB.US,60,20201001,210000,2.65,2.66,2.6201,2.63,4502,0
NAVB.US,60,20201001,220000,2.65,2.66,2.63,2.64,3166,0
NAVB.US,60,20201002,160000,2.7,2.7,2.6436,2.6662,4381,0
NAVB.US,60,20201002,170000,2.62,2.66,2.62,2.625,9483,0
NAVB.US,60,20201002,180000,2.625,2.69,2.625,2.6545,12050,0
NAVB.US,60,20201002,190000,2.6899,2.6899,2.62,2.64,2600,0
NAVB.US,60,20201002,200000,2.65,2.65,2.64,2.64,400,0
NAVB.US,60,20201002,210000,2.64,2.66,2.64,2.6476,1865,0
NAVB.US,60,20201002,220000,2.68,2.7,2.66,2.7,12680,0
NAVB.US,60,20201005,160000,2.7,2.74,2.6801,2.725,9353,0
NAVB.US,60,20201005,170000,2.74,2.74,2.68,2.695,15908,0
NAVB.US,60,20201005,180000,2.6843,2.78,2.68,2.76,8425,0
NAVB.US,60,20201005,190000,2.765,2.8,2.7501,2.8,5663,0
NAVB.US,60,20201005,200000,2.7951,2.8,2.78,2.78,14570,0
NAVB.US,60,20201005,210000,2.7687,2.78,2.7537,2.7537,2606,0
NAVB.US,60,20201005,220000,2.765,2.8,2.74,2.74,8153,0
NAVB.US,60,20201006,160000,2.66,2.78,2.66,2.767,11516,0
NAVB.US,60,20201006,170000,2.75,2.78,2.75,2.77,4044,0
NAVB.US,60,20201006,180000,2.77,2.77,2.76,2.77,2100,0
NAVB.US,60,20201006,190000,2.75,2.77,2.75,2.75,4862,0
NAVB.US,60,20201006,200000,2.77,2.77,2.76,2.77,1100,0
NAVB.US,60,20201006,210000,2.7501,2.7501,2.71,2.73,3166,0
NAVB.US,60,20201006,220000,2.73,2.78,2.6756,2.72,37337,0
NAVB.US,60,20201007,160000,2.78,2.8,2.72,2.7701,18541,0
NAVB.US,60,20201007,170000,2.8,2.83,2.7384,2.81,26235,0
NAVB.US,60,20201007,180000,2.78,2.8,2.78,2.7901,2353,0
NAVB.US,60,20201007,190000,2.81,2.81,2.75,2.7858,15844,0
NAVB.US,60,20201007,200000,2.79,2.79,2.75,2.79,4207,0
NAVB.US,60,20201007,220000,2.75,2.7899,2.73,2.76,11853,0
NAVB.US,60,20201008,160000,2.9,2.9,2.796,2.855,29334,0
NAVB.US,60,20201008,170000,2.8301,2.88,2.8301,2.855,5165,0
NAVB.US,60,20201008,180000,2.865,2.88,2.84,2.85,9571,0
NAVB.US,60,20201008,190000,2.83,2.88,2.83,2.88,17915,0
NAVB.US,60,20201008,200000,2.8706,2.9,2.87,2.8802,6549,0
NAVB.US,60,20201008,210000,2.89,2.9,2.84,2.84,18138,0
NAVB.US,60,20201008,220000,2.8471,2.86,2.8,2.84,17049,0
NAVB.US,60,20201009,160000,2.91,2.92,2.9,2.9,27553,0
NAVB.US,60,20201009,170000,2.9099,2.91,2.81,2.81,12820,0
NAVB.US,60,20201009,180000,2.84,2.85,2.83,2.85,8764,0
NAVB.US,60,20201009,190000,2.83,2.84,2.815,2.815,4600,0
NAVB.US,60,20201009,200000,2.8145,2.84,2.81,2.8251,3450,0
NAVB.US,60,20201009,210000,2.82,2.82,2.77,2.8,15471,0
NAVB.US,60,20201009,220000,2.79,2.8,2.78,2.78,13398,0
NAVB.US,60,20201012,160000,2.77,2.81,2.77,2.8,1928,0
NAVB.US,60,20201012,170000,2.8,2.81,2.8,2.8062,2772,0
NAVB.US,60,20201012,180000,2.8089,2.81,2.8,2.8,2835,0
NAVB.US,60,20201012,190000,2.796,2.796,2.78,2.79,5500,0
NAVB.US,60,20201012,200000,2.7659,2.79,2.73,2.7304,3950,0
NAVB.US,60,20201012,210000,2.7499,2.75,2.73,2.7458,4537,0
NAVB.US,60,20201012,220000,2.73,2.77,2.73,2.77,4097,0
NAVB.US,60,20201013,160000,2.77,2.8,2.7644,2.7899,5523,0
NAVB.US,60,20201013,170000,2.75,2.77,2.71,2.735,5077,0
NAVB.US,60,20201013,180000,2.74,2.78,2.74,2.76,7995,0
NAVB.US,60,20201013,190000,2.78,2.79,2.745,2.745,4103,0
NAVB.US,60,20201013,200000,2.73,2.75,2.73,2.75,3421,0
