<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLM.US,60,20200914,160000,3.52,3.5628,3.41,3.4858,91393,0
PLM.US,60,20200914,170000,3.4602,3.59,3.4504,3.59,193718,0
PLM.US,60,20200914,180000,3.56,3.64,3.54,3.61,127174,0
PLM.US,60,20200914,190000,3.6019,3.79,3.6,3.775,219243,0
PLM.US,60,20200914,200000,3.76,3.764,3.64,3.655,135023,0
PLM.US,60,20200914,210000,3.66,3.6742,3.58,3.5949,79648,0
PLM.US,60,20200914,220000,3.6,3.64,3.58,3.61,46095,0
PLM.US,60,20200915,160000,3.67,3.72,3.58,3.6068,86657,0
PLM.US,60,20200915,170000,3.6,3.74,3.5793,3.685,121598,0
PLM.US,60,20200915,180000,3.6866,3.6915,3.64,3.6915,63365,0
PLM.US,60,20200915,190000,3.685,3.7017,3.65,3.67,53346,0
PLM.US,60,20200915,200000,3.67,3.68,3.6,3.605,41968,0
PLM.US,60,20200915,210000,3.61,3.6773,3.59,3.65,82086,0
PLM.US,60,20200915,220000,3.6501,3.6699,3.56,3.59,201205,0
PLM.US,60,20200916,160000,3.51,3.6,3.49,3.5666,158260,0
PLM.US,60,20200916,170000,3.55,3.6,3.49,3.54,182165,0
PLM.US,60,20200916,180000,3.54,3.6,3.53,3.59,32518,0
PLM.US,60,20200916,190000,3.59,3.71,3.58,3.67,87738,0
PLM.US,60,20200916,200000,3.66,3.71,3.58,3.635,64944,0
PLM.US,60,20200916,210000,3.64,3.66,3.6,3.6093,52114,0
PLM.US,60,20200916,220000,3.62,3.63,3.5884,3.6,45070,0
PLM.US,60,20200917,160000,3.51,3.6196,3.51,3.5774,33638,0
PLM.US,60,20200917,170000,3.6058,3.676,3.5701,3.64,73478,0
PLM.US,60,20200917,180000,3.65,3.74,3.65,3.71,70299,0
PLM.US,60,20200917,190000,3.71,3.72,3.63,3.7,53277,0
PLM.US,60,20200917,200000,3.7,3.75,3.67,3.7216,31769,0
PLM.US,60,20200917,210000,3.73,3.75,3.65,3.6763,81405,0
PLM.US,60,20200917,220000,3.69,3.7399,3.6519,3.7,60696,0
PLM.US,60,20200918,160000,3.75,3.96,3.7428,3.9538,194017,0
PLM.US,60,20200918,170000,3.9518,4.08,3.86,3.919,535134,0
PLM.US,60,20200918,180000,3.93,4.03,3.928,3.965,82385,0
PLM.US,60,20200918,190000,3.965,3.9864,3.87,3.88,71080,0
PLM.US,60,20200918,200000,3.8769,3.88,3.78,3.81,94431,0
PLM.US,60,20200918,210000,3.8058,3.88,3.8002,3.855,99275,0
PLM.US,60,20200918,220000,3.85,3.91,3.81,3.89,214139,0
PLM.US,60,20200921,160000,4.02,4.17,4,4.07,174946,0
PLM.US,60,20200921,170000,4.07,4.09,3.811,3.8369,363481,0
PLM.US,60,20200921,180000,3.85,3.94,3.8,3.8125,74877,0
PLM.US,60,20200921,190000,3.8,3.87,3.77,3.845,57154,0
PLM.US,60,20200921,200000,3.83,3.85,3.79,3.82,27941,0
PLM.US,60,20200921,210000,3.82,3.87,3.81,3.87,33766,0
PLM.US,60,20200921,220000,3.8602,3.95,3.84,3.93,305050,0
PLM.US,60,20200922,160000,3.88,3.93,3.8,3.805,73161,0
PLM.US,60,20200922,170000,3.802,3.886,3.8,3.83,49644,0
PLM.US,60,20200922,180000,3.83,3.86,3.8,3.8454,35709,0
PLM.US,60,20200922,190000,3.8503,3.9299,3.846,3.89,39692,0
PLM.US,60,20200922,200000,3.88,3.91,3.8467,3.91,23874,0
PLM.US,60,20200922,210000,3.9,3.96,3.86,3.93,50789,0
PLM.US,60,20200922,220000,3.9102,3.94,3.87,3.88,58610,0
PLM.US,60,20200923,160000,3.72,3.78,3.5,3.515,203174,0
PLM.US,60,20200923,170000,3.5299,3.54,3.34,3.375,181629,0
