<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBEV.US,60,20210611,160000,3.5,3.54,3.07,3.195,728132,0
SBEV.US,60,20210611,170000,3.19,3.4,3.08,3.27,603516,0
SBEV.US,60,20210611,180000,3.25,3.49,3.25,3.28,141110,0
SBEV.US,60,20210611,190000,3.26,3.34,3.24,3.28,73867,0
SBEV.US,60,20210611,200000,3.28,3.35,3.15,3.32,85541,0
SBEV.US,60,20210611,210000,3.32,3.33,3.17,3.2845,54833,0
SBEV.US,60,20210611,220000,3.16,3.36,3.11,3.28,295084,0
SBEV.US,60,20210614,160000,3.4,3.45,3.3,3.4,159034,0
SBEV.US,60,20210614,170000,3.4431,3.45,3.4,3.42,123642,0
SBEV.US,60,20210614,180000,3.42,3.43,3.31,3.3301,68446,0
SBEV.US,60,20210614,190000,3.3323,3.35,3.31,3.3406,46938,0
SBEV.US,60,20210614,200000,3.345,3.35,3.3101,3.33,18551,0
SBEV.US,60,20210614,210000,3.33,3.39,3.323,3.386,20063,0
SBEV.US,60,20210614,220000,3.3899,3.39,3.3,3.3594,49942,0
SBEV.US,60,20210615,160000,3.47,3.47,3.31,3.43,75967,0
SBEV.US,60,20210615,170000,3.43,3.5,3.4,3.4,78653,0
SBEV.US,60,20210615,180000,3.4133,3.4133,3.208,3.22,90839,0
SBEV.US,60,20210615,190000,3.2383,3.2385,3.13,3.195,54955,0
SBEV.US,60,20210615,200000,3.19,3.2,3.16,3.19,51609,0
SBEV.US,60,20210615,210000,3.2,3.29,3.16,3.2804,75192,0
SBEV.US,60,20210615,220000,3.25,3.45,3.23,3.45,97073,0
SBEV.US,60,20210616,160000,3.35,3.35,3.29,3.33,36238,0
SBEV.US,60,20210616,170000,3.3054,3.34,3.3,3.3348,18821,0
SBEV.US,60,20210616,180000,3.3,3.315,3.24,3.26,18148,0
SBEV.US,60,20210616,190000,3.2634,3.2798,3.18,3.23,25549,0
SBEV.US,60,20210616,200000,3.21,3.29,3.21,3.2502,14443,0
