<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THM.US,60,20200914,160000,1.3,1.35,1.3,1.34,28037,0
THM.US,60,20200914,170000,1.34,1.35,1.32,1.34,111162,0
THM.US,60,20200914,180000,1.3419,1.36,1.3419,1.36,41377,0
THM.US,60,20200914,190000,1.365,1.37,1.35,1.36,26910,0
THM.US,60,20200914,200000,1.3501,1.37,1.35,1.3598,33298,0
THM.US,60,20200914,210000,1.36,1.36,1.35,1.355,23260,0
THM.US,60,20200914,220000,1.3535,1.377,1.35,1.36,58604,0
THM.US,60,20200915,160000,1.44,1.44,1.3702,1.38,62949,0
THM.US,60,20200915,170000,1.39,1.41,1.37,1.37,46068,0
THM.US,60,20200915,180000,1.37,1.38,1.36,1.3691,19411,0
THM.US,60,20200915,190000,1.36,1.41,1.36,1.41,63033,0
THM.US,60,20200915,200000,1.405,1.41,1.4,1.41,35979,0
THM.US,60,20200915,210000,1.4,1.4,1.38,1.39,11750,0
THM.US,60,20200915,220000,1.4,1.4,1.38,1.39,33369,0
THM.US,60,20200916,160000,1.4,1.4,1.38,1.38,5135,0
THM.US,60,20200916,170000,1.4,1.4,1.35,1.3674,11916,0
THM.US,60,20200916,180000,1.36,1.3757,1.36,1.3701,9738,0
THM.US,60,20200916,190000,1.37,1.38,1.3635,1.37,15150,0
THM.US,60,20200916,200000,1.3725,1.38,1.35,1.3799,19558,0
THM.US,60,20200916,210000,1.37,1.37,1.34,1.36,30897,0
THM.US,60,20200916,220000,1.355,1.37,1.34,1.34,49643,0
THM.US,60,20200917,160000,1.3,1.33,1.3,1.33,35522,0
THM.US,60,20200917,170000,1.34,1.36,1.3376,1.3376,12724,0
THM.US,60,20200917,180000,1.34,1.36,1.33,1.3402,9555,0
THM.US,60,20200917,190000,1.3425,1.3425,1.32,1.32,8847,0
THM.US,60,20200917,200000,1.325,1.33,1.32,1.32,7300,0
THM.US,60,20200917,210000,1.325,1.33,1.32,1.323,10538,0
THM.US,60,20200917,220000,1.3242,1.33,1.32,1.32,30832,0
THM.US,60,20200918,160000,1.38,1.38,1.335,1.34,28900,0
THM.US,60,20200918,170000,1.345,1.3799,1.34,1.3763,29749,0
THM.US,60,20200918,180000,1.3796,1.4,1.36,1.3767,75317,0
THM.US,60,20200918,190000,1.37,1.4,1.37,1.4,66016,0
THM.US,60,20200918,200000,1.3999,1.4088,1.38,1.397,69793,0
THM.US,60,20200918,210000,1.39,1.3999,1.36,1.36,16700,0
THM.US,60,20200918,220000,1.37,1.37,1.36,1.36,28798,0
THM.US,60,20200921,160000,1.31,1.33,1.28,1.28,78470,0
THM.US,60,20200921,170000,1.27,1.29,1.201,1.23,164132,0
THM.US,60,20200921,180000,1.2363,1.255,1.22,1.225,88760,0
THM.US,60,20200921,190000,1.23,1.26,1.22,1.24,63955,0
THM.US,60,20200921,200000,1.235,1.25,1.2312,1.2416,20166,0
THM.US,60,20200921,210000,1.2499,1.25,1.235,1.2421,19674,0
